k,tau_100,tau_200,tau_300,tau_400,tau_500,tau_600,tau_700,tau_800,tau_900,tau_1000,tau_1100,tau_1200,tau_1300,tau_1400,tau_1500,tau_1600,tau_1700,tau_1800,tau_1900,tau_2000,tau_2100,tau_2200,tau_2300,tau_2400,tau_2500,tau_2600,tau_2700,tau_2800,tau_2900,tau_3000,tau_3100,tau_3200,tau_3300,tau_3400,tau_3500,tau_3600,tau_3700,tau_3800,tau_3900,tau_4000,tau_4100,tau_4200,tau_4300,tau_4400,tau_4500,tau_4600,tau_4700,tau_4800,tau_4900,tau_5000
1.0,2459.0242258865696,1709.6918373214223,1247.8432825136463,910.0235975319041,664.3256564615892,448.6683474220549,305.55601002249944,190.00379717604673,101.24993418099152,53.01051656493557,22.308997886332495,7.5872446030107525,3.0236652559132935,2.220657578405278,0.9467705982358258,0.6027727404817818,0.612348274868895,0.5075724284039775,0.27395361932772216,0.7060236903962935,0.28100779836460066,0.6205287632226038,0.3680615078557685,0.6004289347444767,0.2627764054600438,0.6615252218339486,0.5363012633354944,0.4471664757149938,0.5397575214404147,0.16137719621405108,0.8284951834744179,0.83513306238391,0.7712997677018995,0.3346548006714914,0.4313156153555996,0.16464381334867156,0.24430120977995032,0.3627083452544885,0.3234201100089288,0.4663635262902437,0.6226093375023253,0.3370049769605537,0.5794256741501074,0.6010505452563958,0.4632593303813877,0.5216975021608798,0.34223201311303914,0.6914576070691656,0.8421798263490844,0.7824528709598746
2.0,69.17413033165789,4.620790559802789,0.32995318387859196,0.06742023894039785,0.07363699506872554,0.06980613224215874,0.040898452681663526,0.08349211017618359,0.05799022035078569,0.11162469920523725,0.025762242886176304,0.12396958724309888,0.11904469679905587,0.0698308754922236,0.03287116103068886,0.05651616716342118,0.11101755059433659,0.06703089762788707,0.033549331731448834,0.07292012686168649,0.12922042369209477,0.05289027040435871,0.09553288285102433,0.08222833204992187,0.06742811460364682,0.046575834216969904,0.08336751470002007,0.04797524301549088,0.06383390127091854,0.04964453320960085,0.04781734044574786,0.055109043034913534,0.08097661181097697,0.04335683833989066,0.05969517634094476,0.0513808436437092,0.052931734489796295,0.07491584612715964,0.06355535593106193,0.07545429416498002,0.02858462695835627,0.021694789281268893,0.04503132132318142,0.06952433981725083,0.06892564275338743,0.021971633271985643,0.027604235894528612,0.10570711605825978,0.08943186833438925,0.10135766993667224
3.0,1.338135203128255,0.02571126516838899,0.018226259228308877,0.01974928775526099,0.008996584154447458,0.018355513755513572,0.015910420863531723,0.02247086255247344,0.009593974666330454,0.00981642217206075,0.024705511876763356,0.013113904314374888,0.012414612895569652,0.0037483770492944294,0.014173751439641027,0.011238991470082567,0.011711366278840394,0.006684113370814939,0.013367418197576484,0.010927299284829836,0.013121105365715096,0.009559785856321749,0.007196391502563309,0.0035627300707294345,0.012280360311405836,0.009944871737079504,0.0049242484203064546,0.008119414919185492,0.0166386076238411,0.008403099219835418,0.01063134445422581,0.01383651579216577,0.012846756204305176,0.025553258816723542,0.008518159525473412,0.004457275934397069,0.005614588497916498,0.01372229478593267,0.005669164476244321,0.0134994383854334,0.010125365549472293,0.006699329561633641,0.01376623507804462,0.010852768170599396,0.011720492839650248,0.006369768335979317,0.006957495028798579,0.011783889297832468,0.012462231817008056,0.011959446096428168
4.0,0.07423437926858925,0.002318507804204168,0.0012156602936092497,0.001763993334696817,0.0016868905561960765,0.0016165219186849932,0.000567746370488425,0.001550448874033918,0.00147273574378913,0.0007363056533823043,0.0005097853496361235,0.0009606953170942841,0.0010180210114271299,0.001476063611966071,0.0004912604665727612,0.0017152276776267786,0.00036054104274447075,0.0013127991551028287,0.0012867282601579954,0.0008291832588833523,0.001243710105581728,0.0009282492295573058,0.0007567911457824671,0.0005539586528362267,0.0009558121471160085,0.000579818819858922,0.0010487772147959053,0.0007721499721065496,0.0011053605268496172,0.0006542156575958737,0.000855673495290632,0.0013907629259627935,0.0007242466976552248,0.00044827556128020725,0.0004441361460301313,0.0009565538247041106,0.0007607838410208234,0.0007532193357598297,0.0009217672249147728,0.0007553339119585876,0.0013256969197571501,0.0007564814304051025,0.0013023693367825503,0.0006734852242768612,0.0008282632962534819,0.0006086413537678742,0.0014101301185862052,0.0008102481685071318,0.000857908228019855,0.0012549245995432177
5.0,0.031677055380699606,6.675189132681409e-5,5.536497565429881e-5,3.787824046646747e-5,5.0332270361759285e-5,3.477933714391172e-5,3.148634348412727e-5,4.045929581713353e-5,3.236987680834768e-5,2.529809489173904e-5,3.4534859995524235e-5,3.837457037111262e-5,2.893615227828104e-5,2.558235968670202e-5,2.1582678483539077e-5,4.980713253797444e-5,2.479120644673843e-5,1.533936896482593e-5,2.6845461651099037e-5,4.183738700289794e-5,3.630743138244051e-5,4.435460930428962e-5,3.532531855864428e-5,3.578384112980234e-5,2.588689645871768e-5,2.695057125408261e-5,3.914411992037486e-5,2.3048701403193867e-5,4.053082791563654e-5,3.886114489283527e-5,2.8396912088031218e-5,2.4063044401557646e-5,2.5456512205059804e-5,3.9383963821285964e-5,2.9454931628004518e-5,2.765019536443334e-5,3.499012018633734e-5,3.333983078271961e-5,3.231150891892342e-5,3.1045674314486944e-5,4.080226947722759e-5,2.9395130117439124e-5,2.1386199414972265e-5,4.245302309811423e-5,3.112858291811693e-5,2.3560522680847173e-5,3.272789653961608e-5,2.9766132617470895e-5,5.320767953274944e-5,3.0371120577844836e-5
6.0,0.02235966603371299,1.85111096033552e-5,8.810785213793685e-7,1.2965027404316435e-6,6.693164271528402e-7,1.5287885671967956e-6,8.874608112216223e-7,8.879044457336339e-7,6.801808079196216e-7,6.729792545267235e-7,6.88780688257698e-7,3.6335410231146607e-7,1.2847484923953123e-6,7.195080084755301e-7,5.016867992018903e-7,1.2279822887338832e-6,6.394261042113497e-7,1.0585212351774254e-6,7.587192005662366e-7,9.10866070057634e-7,1.06648462199975e-6,6.442283836121972e-7,2.4515808101050054e-7,6.087192222310923e-7,1.1558536882903635e-6,3.7688857838191986e-7,6.172463560667069e-7,1.1972376720044478e-6,1.1062293067446596e-6,5.010384284030827e-7,7.002863234451707e-7,6.21192953228743e-7,1.1600377553875936e-6,1.182005019462408e-6,9.516326748494079e-7,3.957932481833966e-7,7.200655505714165e-7,4.0529355582321245e-7,7.376858799631227e-7,5.898145131284913e-7,9.40494590325047e-7,5.227631549892503e-7,5.649208521117512e-7,2.1656379426800437e-7,7.963435653337322e-7,8.319015079473028e-7,6.466762713885106e-7,4.928997530549964e-7,4.1417846731443543e-7,5.774989386226084e-7
7.0,0.025648738294144335,1.9624794311666172e-5,5.079543930818512e-8,2.861878854177737e-8,2.111141174693523e-8,1.5861035255100847e-8,2.150320912305057e-8,1.4599052931227378e-8,2.191346473061285e-8,2.0278230353888164e-8,1.576178824462881e-8,1.8010843495561865e-8,1.7939590394693295e-8,2.4827344975613457e-8,3.051349462705403e-8,1.2044795570939308e-8,2.3167461528388956e-8,1.2303711337577599e-8,8.0607069026234e-9,1.371295817562327e-8,1.5827004530623682e-8,1.2496605881082291e-8,1.568150473246549e-8,1.532033067263694e-8,1.8166539764521038e-8,1.3027424139348139e-8,1.0768788506307741e-8,1.3498204319662846e-8,1.5290793329440635e-8,2.2003408686238856e-8,1.4223520453021945e-8,1.799328699065106e-8,1.0615117666931273e-8,2.6492287773895056e-8,1.0533525471899071e-8,1.5143593829913438e-8,1.7000678711027356e-8,9.890350846696722e-9,1.547039915325137e-8,1.4454732347417705e-8,1.6274817178561397e-8,1.8049663891749876e-8,1.7227189307960364e-8,8.02928241168285e-9,9.124881199763475e-9,1.2344139773658664e-8,9.761340181843041e-9,1.025636245843475e-8,1.958878323617421e-8,8.203483226016032e-9
8.0,0.026085841563474956,2.0937267379633513e-5,8.311246930148608e-8,9.730046487786982e-8,8.430846805400312e-8,1.7185812116795704e-7,8.562908249505518e-8,5.532507281000002e-8,6.330645913570776e-8,8.481830524264952e-8,1.263651699654337e-7,8.16061422305558e-8,1.1183980326821162e-7,4.951749072754155e-8,7.36235563928912e-8,1.0478464235416652e-7,5.270906539841322e-8,8.751224250753235e-8,6.759963327099501e-8,6.6817116463713e-8,9.139762455534873e-8,9.820036375168818e-8,8.390122721306195e-8,9.25465568091932e-8,9.177828492084491e-8,6.193929978727551e-8,4.9916985291585356e-8,4.812439323760802e-8,8.53213415616581e-8,9.475188742570218e-8,8.242890459761543e-8,1.6023610089868115e-7,1.1532343161129119e-7,9.201221562986822e-8,8.612656372296793e-8,7.74099382762073e-8,5.945216937897389e-8,1.4420304820874383e-7,1.384630147113435e-7,4.359804637805177e-8,4.627198079219811e-8,5.9282289845588495e-8,1.2899070003347825e-7,6.466937586853719e-8,7.533136874962413e-8,7.626595674262023e-8,9.104507302659868e-8,1.3765230281270347e-7,4.755975734873434e-8,8.476234847696545e-8
9.0,0.042377587842219504,3.2100486746275875e-5,2.697052853626169e-8,3.1129918508590446e-9,4.021267545835062e-9,3.873736444016178e-9,2.0773217135173084e-9,2.084021814838145e-9,3.294796238066533e-9,2.1997457034391025e-9,2.731015210629104e-9,1.8465164972981403e-9,4.287343064721204e-9,3.9027081239772725e-9,4.6390832618282165e-9,2.3124024303703385e-9,1.0962050771957821e-9,2.605668496038688e-9,3.013716267361326e-9,2.2321354779519155e-9,2.97329368888807e-9,1.6552961206510957e-9,4.177601412813833e-9,2.4288924492496155e-9,3.3774820069646623e-9,2.257902797365783e-9,2.9750599335801044e-9,1.6335761566912744e-9,1.8542596414132685e-9,2.158513440445403e-9,2.920894931593278e-9,1.6296624270184322e-9,1.090024127689754e-9,1.6192127534178099e-9,3.547210802347484e-9,3.34459224241497e-9,2.513473782133307e-9,2.9938075199237924e-9,3.187239754000697e-9,3.461932099172868e-9,1.0968859582014179e-9,1.6934663189672204e-9,2.9154712178727186e-9,2.7369455453632515e-9,3.6852245201419464e-9,2.244886571132201e-9,2.0052431453686416e-9,1.585019894602773e-9,1.899479949675978e-9,2.209422555264344e-9
10.0,0.029548112076690468,2.2709661243575146e-5,5.140930911389031e-8,9.20377960816038e-8,8.069473614190215e-8,5.961462440233892e-8,4.9922360477127244e-8,1.0112957852665848e-7,5.484458898237205e-8,4.3804146824976706e-8,2.0506784657037436e-8,2.913702764676143e-8,5.708455616183735e-8,3.697207256389666e-8,3.660279199652261e-8,4.528603626911689e-8,5.1677875895274065e-8,3.257830511728226e-8,2.612772810928938e-8,4.980876167472422e-8,3.600050741837016e-8,7.19754544197997e-8,4.819461845079122e-8,7.277550569148644e-8,3.025809158483121e-8,3.552098764052407e-8,4.2519820321967125e-8,2.877546282619427e-8,5.905451340020274e-8,5.1536706565975444e-8,4.8263659628778274e-8,4.7237747842990156e-8,3.7876311253157704e-8,3.7536706851425554e-8,7.047866309733221e-8,4.062624641662913e-8,6.008257086639277e-8,4.424784556034803e-8,2.736923592145252e-8,2.4028229233059486e-8,3.963752323123203e-8,3.819926358374171e-8,3.5777098623689095e-8,6.080373178740413e-8,3.055759507851896e-8,4.107431534055441e-8,4.58314101511152e-8,4.8199898384731605e-8,4.260833257234917e-8,2.0037415731497133e-8
