k,tau_100,tau_200,tau_300,tau_400,tau_500,tau_600,tau_700,tau_800,tau_900,tau_1000,tau_1100,tau_1200,tau_1300,tau_1400,tau_1500,tau_1600,tau_1700,tau_1800,tau_1900,tau_2000,tau_2100,tau_2200,tau_2300,tau_2400,tau_2500,tau_2600,tau_2700,tau_2800,tau_2900,tau_3000,tau_3100,tau_3200,tau_3300,tau_3400,tau_3500,tau_3600,tau_3700,tau_3800,tau_3900,tau_4000,tau_4100,tau_4200,tau_4300,tau_4400,tau_4500,tau_4600,tau_4700,tau_4800,tau_4900,tau_5000
1.0,6324.968572209709,8237.796653200241,10762.931976888785,13913.782887685182,17948.3397454015,22512.54589330869,27725.546738045625,32745.386446268294,36675.11460601229,38962.37258863563,38399.19481915137,34711.61359538335,28597.52556426698,21140.214263851198,14158.740681207804,8477.743772769354,4638.67332211986,2303.6160961788405,1077.194896287242,491.508124786409,217.82181652476254,94.7113963563271,41.940987234597294,19.555909367110672,8.189283851878622,6.2374293673329415,1.9485281205787282,1.4471153354757695,1.5382695293908544,0.5556906669660574,1.512207016174128,1.9231932745263158,2.1746280600163734,1.7047476753525876,1.5243637832600159,0.7614098760982317,0.7568035405945926,0.8817714965966512,0.8445268911507429,1.0729413903777107,1.505032314568137,1.0616988704855306,1.5260397641183556,1.4807880695855522,1.587542297976304,1.6757842742060685,1.1360427492226046,1.6815484865729,1.6745433137173216,1.7601806762043606
2.0,1461.6873670130817,885.123735538722,501.66407895727303,264.5992210108738,119.91719437333025,39.139416215801944,7.961570852881323,9.386853354614699,32.37590208320494,53.56549217952486,69.44035284992187,72.87102754488284,64.41683631632132,45.38406802169002,28.539609411142184,13.962221957674528,9.33764711296851,3.9773821023556124,0.8336142533899541,0.8413560300724932,1.3193596949982247,0.5778610112698782,0.6748412366415107,0.4054108531899934,0.369701689921647,0.31314178378352375,0.4618045777204965,0.5314166253388563,0.6115898907940606,0.5611308485944887,0.3963950873858395,0.1660969350910848,0.5638951483059588,0.38823305883048415,0.5656424903217855,0.3045619189458641,0.2672077002307704,0.6091912524578941,0.6144367512617482,0.5430143291602344,0.24127933527002265,0.09538711175272423,0.28558430817395336,0.5104651085833932,0.5862118681725693,0.3004986908942872,0.12592820715659808,0.614294162691909,0.5036042918734932,0.5117771128788812
3.0,182.16384201984212,37.96168028600698,6.03025995535885,1.0936004112178361,0.48764877092112924,0.6203739095366617,0.8645349739909728,0.75807149391481,0.35702461996946505,0.5296824829330599,0.32867127926186995,0.23926792752863837,0.39909883767772236,0.17189474820606232,0.31091096213817926,0.34104217884205407,0.268650326839606,0.20056918741154858,0.3343789323986571,0.3203169672830474,0.2995264688075359,0.19563559755798832,0.20556496021103093,0.07225303859293873,0.23391722594524622,0.25573510094520224,0.12236146377457642,0.14093766570640479,0.2687630500021689,0.14127510630765938,0.18252046464899388,0.2274827304013786,0.24240714748925773,0.2658762323113121,0.2162720753975728,0.1378060792579556,0.14523829471519822,0.33772224947728063,0.1510397469559835,0.27259991964007835,0.30034672727753603,0.11907741626673195,0.293904029712898,0.1788233048316473,0.27636398459921807,0.18478547806582665,0.1722100416243738,0.2266183241469813,0.2679488473599402,0.16357316941133174
4.0,14.838927628670348,1.1871473686595073,0.22602630008259028,0.17530581621341024,0.16438537283008878,0.18763967348462657,0.103882416206934,0.13003024708154967,0.1580993373516483,0.1231860360191686,0.08675960854475613,0.10703688255486501,0.10766895068486382,0.12249750890450806,0.03952109714302471,0.10087597393233314,0.05325515850848763,0.12167895427444367,0.07513782732664309,0.0883405143804808,0.10307523199728598,0.10053526253504638,0.07590734770496319,0.05694290595935538,0.08715186357312733,0.060271970475698655,0.09290491250019309,0.10660368734174534,0.08774735328210669,0.058204934015249656,0.08536945085830706,0.11515153780358331,0.07505537060084974,0.06356804280488414,0.04199214485398749,0.08021519588611432,0.07526374307414982,0.08348590285137629,0.07099243578785187,0.08561171707379334,0.09705824928480504,0.05471967832645449,0.09141028142621833,0.06597436544209954,0.08493733691090266,0.06701510837804428,0.09234930853121918,0.10948979941067895,0.09207380612380651,0.1004913340412822
5.0,0.626919174741272,0.056451479746776285,0.06524331335125365,0.03528354261597224,0.056097375827786344,0.042907800912089754,0.03550117696938976,0.04367302554967515,0.040839648833268245,0.03832219795758614,0.03472017301289288,0.04831456289269327,0.03510280391702221,0.025111980778878797,0.03138033817451358,0.045342676728370127,0.025930579586408264,0.01735236433558395,0.033167962200289065,0.03921776966662453,0.04083632699379634,0.03983957419632545,0.03335191129377392,0.03579410976662873,0.0263773698137731,0.02951632184594318,0.03536208999162463,0.026278150912274666,0.04354851649505951,0.03865207587206153,0.034144951722322195,0.025389458996950054,0.02184166014124243,0.031774445152048775,0.028791192979250476,0.028290666601928787,0.032869203654064844,0.03448848464368203,0.03427509413033261,0.03295862853169782,0.04049720755409076,0.03246822991775049,0.022338827525301686,0.039998136951260595,0.030332328459400815,0.019907100455199337,0.03653846882299964,0.03123889156377788,0.04922536816665939,0.03168316784585167
6.0,0.20011982080047916,0.02382875459028214,0.01520055307992636,0.014696824566863522,0.01037398378471165,0.019331964746525977,0.014117258542370666,0.013581479753544285,0.016877827254165482,0.008914747769053348,0.015250620764644113,0.008543634311908554,0.015485278965490118,0.008846283316678099,0.009209737690934361,0.013968818984918821,0.008069112877829226,0.013464817805723419,0.011343584066842605,0.010646814107324681,0.010068356449650076,0.008115607948618321,0.006299756644648542,0.011883326461712673,0.01388971029554103,0.005510444368422073,0.007713571058397163,0.01339170326342474,0.014058969648374822,0.009632032608200117,0.009462125264358563,0.009190192180069045,0.013582032174041178,0.012546627486387837,0.012051802357681942,0.006645126265356742,0.008651180301356403,0.008264572870698863,0.009640942986651434,0.009353163519642889,0.011517865789345738,0.009165776223437158,0.010300637368058096,0.004429933831457432,0.009723916516591869,0.009124496477675497,0.008987773756545837,0.012211495449530436,0.006048980649493442,0.008916200821849938
7.0,0.0941130722427406,0.00330595381668278,0.0053323144864183365,0.0056619566490630335,0.0042366678210624,0.0032501817166313515,0.004115365760523794,0.003271926344494279,0.0041731331296217195,0.005176872063245519,0.004532602002180809,0.004161264001330651,0.0035727631342976664,0.0035397906983161294,0.00491829409189848,0.002686921137194822,0.004007998191808818,0.002362076073159869,0.0026851263197149255,0.0027310062465925483,0.0028564054764682813,0.0027997260753728666,0.003145182601082363,0.002851524512953074,0.0032964841643972885,0.002477797069823336,0.002625774561384517,0.002805157838152759,0.0030721793541038118,0.003986180509682171,0.0027593644931268374,0.0037241475000520407,0.0022901019713675056,0.004968637033853781,0.002165677993656945,0.0025828135548834185,0.0024363280566927154,0.00245451240986303,0.003146170090876535,0.003096995392721727,0.0037722613968641924,0.003290130444561036,0.003118613538493668,0.0027267275736383946,0.0019960459887604187,0.0035883280734214096,0.002301482041544689,0.001694271990590394,0.004038903221458092,0.002389399882606176
8.0,0.05280442861010021,0.0013239638938474883,0.0010840848137999466,0.0012108163483598496,0.0010981094430135745,0.0013391092923946328,0.0016271991917798734,0.0012247375724718176,0.001175684878832907,0.0011486822283014665,0.0008108535460684711,0.0011596817307998122,0.0010003007257858793,0.0007800877227446017,0.0009349635783907825,0.0009035389062316824,0.0005350240273440556,0.0009105587243292687,0.0008433645243370544,0.0011825896491307218,0.0009643817667165724,0.0007796652040342965,0.0007216350254696996,0.0011452669623648658,0.0009380207381943328,0.0006891522732004031,0.0007835711374396848,0.0008317952616807947,0.0010440833667890487,0.0008148306153174132,0.001070631975126166,0.0009158922940878715,0.0008115197573035725,0.0008560891185702863,0.000872768909824722,0.0010324418753143137,0.0007246482538808704,0.0012657044072085508,0.0010393920682927368,0.0005927131311382689,0.0006292761489630784,0.0006708962099544928,0.0010469583434843234,0.0006269865839949412,0.0008580245498310462,0.0008499391887602895,0.001084415194497938,0.0010532406223880137,0.0009855245254626274,0.0008232039686178544
9.0,0.05824505749378153,0.0003000742575435234,0.0003763642133804214,0.0002761231075507719,0.00027749514781019274,0.0002608791775868804,0.0002111684733400164,0.00022556132330255543,0.00021147219972376686,0.00019956288664296014,0.00022266314746993503,0.0001871795442848611,0.0002509518658981604,0.0003176238319269167,0.00033791038919684123,0.00022082040480926707,0.00014163822343508643,0.00018556972978307749,0.00023254667522412068,0.00022018462176507772,0.0002663090204072543,0.0001485701622250253,0.00030090807729154096,0.0001583370249632213,0.00025008331071356036,0.00014231880657333942,0.00025418566618215705,0.0001788853566812852,0.00016119631072751615,0.00016896680688158699,0.00020860053586727845,0.00015729565563058493,0.00010913816896805413,0.00018128163333455506,0.0002006842744663565,0.00020573652491249746,0.00020635465994668154,0.00023101588131493948,0.00020323418688916514,0.00024022775818691646,0.00014463489238237035,0.0002213769309204698,0.0001865591582895052,0.00018619146198499038,0.00026152708304754064,0.00018841864929205286,0.00017507431997199825,0.00018246372767508382,0.00013294541573341927,0.00016200414586280587
10.0,0.03503921655007325,7.414983327272049e-5,4.796120718710988e-5,5.3907972030759185e-5,5.1488932828220666e-5,5.284515507888759e-5,5.0182810076895424e-5,6.030683185316988e-5,4.678916901500696e-5,4.0400148238075724e-5,3.249629288327128e-5,2.609970169288153e-5,3.70532824426516e-5,2.612572175940115e-5,4.796040939416071e-5,3.1492954702790195e-5,3.582372949917731e-5,3.467659419890634e-5,3.1822492803620266e-5,3.6314216280280006e-5,3.693969515487954e-5,3.641139949103678e-5,2.8830127249521562e-5,4.258291220072136e-5,3.043854860797362e-5,3.963438063301944e-5,3.7465239559352066e-5,2.411282272489315e-5,4.590294074833662e-5,3.094626714824899e-5,2.9439511156594405e-5,3.740339846019583e-5,2.536378877656704e-5,3.114766455657745e-5,3.9897130823040566e-5,3.3359661383529185e-5,3.354559340559922e-5,2.783086968035703e-5,3.038419592578132e-5,3.457574655231292e-5,3.2928599546280204e-5,3.3366996563989736e-5,2.9543325817604035e-5,4.3208553631370874e-5,2.719760836559889e-5,3.380356599520621e-5,3.406560046915793e-5,4.092470441488429e-5,3.298728398461596e-5,2.558917477840064e-5
