tau,coherence,info_flow,entropy,correlation_length,mean_K,mean_Phi
1.0,-0.1258161227035307,0.10786846609699745,5.711248345722406,1.0,0.0018490975318433002,0.05755699762946999
2.0,-0.11577113201710676,0.20452547067293608,5.598523528481287,1.0,0.004039543431940573,0.0526599884547449
3.0,-0.10686110515553351,0.2962136446089075,5.508460411344277,1.0,0.005959892676994538,0.04830491354076265
4.0,-0.0988972070979873,0.38294540289714685,5.4263028546538,1.0,0.007640785190277914,0.04446446367091252
5.0,-0.09176370263746886,0.4629016881748559,5.361132549380859,1.0,0.00911083182569589,0.04126189615668718
6.0,-0.08532080184065831,0.5358630353061655,5.300092912518227,1.0,0.010402672031256912,0.03844253592041501
7.0,-0.07954767841501736,0.6015627520921969,5.258889861389717,1.0,0.011537690293842415,0.036056940885374075
8.0,-0.07434167954221277,0.6594380693760464,5.220697432366501,1.0,0.012538598265735605,0.03388763584943122
9.0,-0.06962785624557455,0.7115151659906569,5.197744064737896,1.0,0.013418649992835605,0.03197769338463949
10.0,-0.06541092882480948,0.7573684111063764,5.175283112990901,1.0,0.014192384834327075,0.030344836173531217
11.0,-0.06157668667975347,0.797727648031821,5.1602799958295105,1.0,0.014874558398150241,0.02890806781018993
12.0,-0.05803243709994775,0.831422415736406,5.135086466905833,1.0,0.015476184172896212,0.027665938342295755
13.0,-0.05482312442658198,0.8597871802317136,5.126230193097354,1.0,0.01600784242416846,0.026592494827266926
14.0,-0.051931637442499366,0.8838876410014919,5.106540891388086,1.0,0.01647870842301804,0.025747881866726954
15.0,-0.04932319974603301,0.9039988285245328,5.089500685990051,1.0,0.016900044565618017,0.024896184323587783
16.0,-0.04695100692634742,0.92025085240312,5.075119558303247,1.0,0.01727328258542888,0.024174815503491216
17.0,-0.04479999111350504,0.9335850543923675,5.05615910165036,1.0,0.017605302628197032,0.02359366150243834
18.0,-0.04285665746793157,0.9442876865250367,5.030412947403775,1.0,0.017903139530341502,0.023261448140050024
19.0,-0.041065454836998985,0.9526347335533032,5.015164530902842,1.0,0.018177929206766433,0.022575338224444186
20.0,-0.03942348048525954,0.9592081359643461,4.9986575285410035,1.0,0.018416306376790155,0.022076866517105772
21.0,-0.037917132553540796,0.9637428424611456,4.982183152779571,1.0,0.01862703369676958,0.021726152024893208
22.0,-0.03653363034233294,0.9673913728828379,4.964184850358257,1.0,0.01881696879499166,0.02161140907522529
23.0,-0.03525086289857879,0.970209818668529,4.940593969119355,1.0,0.01899625987782151,0.021386813556928418
24.0,-0.034022609249927796,0.9725483011089364,4.917608966641597,1.0,0.019160861772365548,0.02126068079566696
25.0,-0.03286398816716159,0.973385280590209,4.893238780575415,1.0,0.01931520502847956,0.02103278582677086
26.0,-0.03177191732661459,0.9746895776933601,4.87098450407158,1.0,0.019455555232592632,0.020761462805834983
27.0,-0.03072887628616188,0.974681113088902,4.844137876023753,1.0,0.019580649544302203,0.020576346478109492
28.0,-0.02976319556411047,0.9746880533935612,4.826213242901915,1.0,0.01969444781612143,0.020531131883274732
29.0,-0.028829512713420477,0.974527233026142,4.802149369331489,1.0,0.01980292207191272,0.0204389469573881
30.0,-0.027909391434289568,0.9740283004291772,4.77890125401649,1.0,0.01990435860113233,0.02046511596737986
31.0,-0.02702247832574177,0.9738828998388515,4.754121669606603,1.0,0.02000371539667782,0.02018128582593056
32.0,-0.026177432094856318,0.9731187659936863,4.726234919405742,1.0,0.020088643784469534,0.02006185792976402
33.0,-0.025370023501844717,0.9725462383168568,4.697145211565847,1.0,0.02016620669322477,0.02014523175584583
34.0,-0.02455720697394411,0.9719768597512707,4.670807692123977,1.0,0.020244759717518043,0.020053081125221243
35.0,-0.023797722554765866,0.9708234431109672,4.650823353260338,1.0,0.02031722854516127,0.019966825578203194
36.0,-0.023071467991860536,0.969692345466374,4.622376234184526,1.0,0.020384045646287548,0.019915530177220597
37.0,-0.022354250649781846,0.9686526391144005,4.596266223145978,1.0,0.020446792910047536,0.019999906088941827
38.0,-0.021663949317928193,0.9685847948952343,4.566508565309006,1.0,0.0205110239634101,0.020060441070933223
39.0,-0.021015867315360447,0.9678171793320433,4.542672211510009,1.0,0.020575717426819976,0.02016708821713461
40.0,-0.020362024961946258,0.9671401640976623,4.517393109572103,1.0,0.02064268841480012,0.02031986124156724
41.0,-0.01976688935340838,0.9668255834723545,4.494842584693957,1.0,0.020713688570815632,0.020534960744067167
