tau,coherence,info_flow,entropy,correlation_length,mean_K,mean_Phi
1.0,-0.1216680964323712,0.0927016627548823,5.711248345722406,1.0,0.0018490975318433002,0.05755699762946999
2.0,-0.11199671897347332,0.17585402391300017,5.59929189895509,1.0,0.004039638445275916,0.052659988454744885
3.0,-0.10343025104440595,0.25612177653311097,5.506522920541464,1.0,0.005960302858736244,0.04830492209196284
4.0,-0.0957825879908262,0.33376184449939333,5.424686027898529,1.0,0.007641802582010579,0.04446450836886145
5.0,-0.08895425721175768,0.4069611043958309,5.362194216197076,1.0,0.009112783609056792,0.04126202839707664
6.0,-0.08278428485526126,0.47541435145680166,5.304095578879735,1.0,0.010405895223438835,0.03844283191967189
7.0,-0.07724441406890749,0.538675341807636,5.264434426969959,1.0,0.011542514845823656,0.036057500331994216
8.0,-0.07223388953822127,0.5958562230117969,5.220868492282661,1.0,0.012545336092747748,0.03388857915553385
9.0,-0.06771702518359143,0.6489261420105229,5.1961056010333655,1.0,0.01342758940955989,0.031979158197624
10.0,-0.06370556873088856,0.6971148474210858,5.174996337030717,1.0,0.014203787914334137,0.030346973700852292
11.0,-0.06006259752084399,0.7407105617863582,5.152878662287192,1.0,0.014888659850423008,0.028911039237252745
12.0,-0.056719693410924615,0.7782349916274599,5.13340032221438,1.0,0.015493191243997305,0.027669911471627465
13.0,-0.053710417185910214,0.8108136582918088,5.12081738396881,1.0,0.016027936326834916,0.026597641011357875
14.0,-0.051046171437161815,0.8393274310504367,5.096341806504316,1.0,0.01650204652158962,0.025754373345489696
15.0,-0.048636546880599874,0.8638510977402344,5.080913949632179,1.0,0.01692676266426403,0.024904191998133325
16.0,-0.04643094667994044,0.8843900766154649,5.06439526750201,1.0,0.017303497301894996,0.0241845071162058
17.0,-0.04443103734857418,0.9018217636848067,5.0406313158375236,1.0,0.017639113694359363,0.02360520019449057
18.0,-0.042593308892233166,0.9162914835034782,5.01972549639793,1.0,0.01794063181526078,0.023274991345772156
19.0,-0.04089910420760758,0.9281278706954078,4.997698438270448,1.0,0.018219174756509457,0.022591036847294063
20.0,-0.0393372942528525,0.9378226627922384,4.979368147333854,1.0,0.018461365449819172,0.022094864363376033
21.0,-0.037894058994883476,0.9451320627589898,4.958683318575936,1.0,0.018675957026961405,0.02174658538157176
22.0,-0.03654290059443642,0.9510868001433126,4.940433212095251,1.0,0.018869799555117587,0.021634406529520034
23.0,-0.035279373500296855,0.9559516004882628,4.917703756041041,1.0,0.01905303384899272,0.021412496008747967
24.0,-0.03406257304575427,0.9601809546862634,4.891595381298985,1.0,0.019221609565888316,0.021289161484228162
25.0,-0.03292046743912598,0.9626143377773857,4.868678410468535,1.0,0.01937995295556452,0.02106417055477859
26.0,-0.0318453613316296,0.9651829175588601,4.844527903622492,1.0,0.019524325890215695,0.020795850221759678
27.0,-0.030799363757461756,0.9661508650531551,4.817414208387712,1.0,0.01965346082983968,0.020613828385787035
28.0,-0.02982115379918345,0.967040583864428,4.795509588217002,1.0,0.01977131574130795,0.02057179343495967
29.0,-0.028876169164991757,0.9674504192057667,4.770455307446385,1.0,0.01988386014000402,0.020482867082688174
30.0,-0.02795069964467268,0.967390991636552,4.744467408253835,1.0,0.019989378636586497,0.02051236770753115
31.0,-0.02705851436329036,0.967746888317051,4.724776885616524,1.0,0.020092828827362623,0.020231936712659108
32.0,-0.026204876636990893,0.9671772333381756,4.694480371829628,1.0,0.02018186143664869,0.02011597044544864
33.0,-0.025395183287295925,0.9664841329522429,4.6680087587089,1.0,0.020263538628031787,0.020202863733814948
34.0,-0.024587487938510993,0.965878667918162,4.6409446274983885,1.0,0.020346214333594834,0.02011428609930577
35.0,-0.02382448265522838,0.9645554301869911,4.611566082161929,1.0,0.020422814498989632,0.020031653020067035
36.0,-0.023094837475519582,0.9630917577196761,4.58832397779454,1.0,0.020493771318812727,0.019984025885161242
37.0,-0.022373554356096066,0.9616768384192038,4.565308284442495,1.0,0.020560666132415972,0.020072112493695074
38.0,-0.021680138278745924,0.9614915265149319,4.534499546717784,1.0,0.020629052672933627,0.020136397489271842
39.0,-0.021027929855914406,0.9602659183720865,4.506919846607394,1.0,0.02069790976857696,0.02024683114167987
40.0,-0.02038320930673784,0.9593167854520613,4.482436679750074,1.0,0.02076905186918765,0.020403424613661562
41.0,-0.019776656097057806,0.9586583958860077,4.453869443069309,1.0,0.02084423092688239,0.02062237612356787
42.0,-0.019184193655893758,0.9575707747024089,4.420364306913507,1.0,0.020925786115508653,0.020653703588783854
43.0,-0.018588792182317966,0.9567615330658797,4.394929095267746,1.0,0.021005975981843457,0.020686547058129112
44.0,-0.018017002712168766,0.9552233068189528,4.375220718490036,1.0,0.02108489710375815,0.02085169503121915
45.0,-0.017476103465616198,0.9548057007955159,4.3490059862332195,1.0,0.021167873368265075,0.02091473749393234
46.0,-0.016940459090743855,0.9528149269786742,4.334410010515796,1.0,0.021250667502288816,0.020968182704163375
47.0,-0.016415257770151653,0.9518929075470034,4.305097251599339,1.0,0.021332890324800804,0.02104127584550535
48.0,-0.01591582218003436,0.9522152187592502,4.274341114631169,1.0,0.02141533706490884,0.021087142850155186
49.0,-0.015435481935592651,0.9513445176011117,4.251497368236449,1.0,0.021496900733073622,0.021357070295046576
50.0,-0.014979716027831342,0.9500926409338283,4.237514098687182,1.0,0.02158656523847569,0.021437046337392834
51.0,-0.014511034357847407,0.9497064916085689,4.215078966285521,1.0,0.02167643932677206,0.02145741105384325
52.0,-0.01408007908145646,0.9487977582714143,4.192568015025623,1.0,0.021764122039736985,0.021476358453134375
