tau,coherence,info_flow,entropy,correlation_length,mean_K,mean_Phi
1.0,-0.12969330818508362,0.12451670771788156,5.711248345722406,1.0,0.001849097531843299,0.05755699762946999
2.0,-0.11922699288085929,0.2356643390961144,5.597006341894574,1.0,0.004039410504543163,0.052659988454744885
3.0,-0.10996025245830492,0.33906918981024503,5.50590504842522,1.0,0.005959318416558054,0.0483049015772969
4.0,-0.10169367171582405,0.43449926658094357,5.42548703055421,1.0,0.0076393599988057856,0.04446440110071939
5.0,-0.09428246721347358,0.5202517164915503,5.360778071022941,1.0,0.009108096098569704,0.04126171095057894
6.0,-0.08760953433015874,0.5963477394894647,5.305951038615833,1.0,0.010398151075060653,0.03844212116741515
7.0,-0.08161435494038796,0.6629161898557765,5.262820034583543,1.0,0.01153091749256838,0.03605615657408655
8.0,-0.0762289345793756,0.7198815597429529,5.227412166922934,1.0,0.012529130351955197,0.0338863125740449
9.0,-0.07136749211370574,0.7694404710590244,5.200961116038745,1.0,0.0134060744276253,0.03197563709179772
10.0,-0.06698217436699846,0.8116372967537183,5.179538970950075,1.0,0.014176323388912834,0.030341833146176257
11.0,-0.06299388895847083,0.8477185330538389,5.1645069429805925,1.0,0.01485466912227431,0.02890388952520964
12.0,-0.0593358268480829,0.87683053033837,5.140472657778444,1.0,0.015452161513815026,0.02766034606813486
13.0,-0.0559919703797116,0.9005202713405648,5.128042248278032,1.0,0.015979414886577205,0.026585243818463205
14.0,-0.05295438450674404,0.9199909889572019,5.108877135719955,1.0,0.01644563584888821,0.02573872497033236
15.0,-0.05019767007223652,0.9356777598627719,5.092158289290424,1.0,0.016862114962139664,0.024884875016197017
16.0,-0.0476718689485533,0.9478614929602776,5.083404663306673,1.0,0.017230309135696738,0.02416111036945256
17.0,-0.04536293837633489,0.9574046351568244,5.064525361218392,1.0,0.01755712096738159,0.02357732221998728
18.0,-0.04326798386611657,0.9648211446836601,5.043341137890962,1.0,0.017849604734223576,0.023242243043546166
19.0,-0.04132229399550129,0.9702358092516349,5.024134666142402,1.0,0.018118913760545148,0.022553043454975063
20.0,-0.039556272250205575,0.9742942506036202,5.018117172951579,1.0,0.01835169804195399,0.022051266886728954
21.0,-0.037944419017850194,0.9766811725062471,4.993064707581775,1.0,0.018556732758524135,0.021697041611115048
22.0,-0.0364383963581342,0.9786502483440592,4.976149280811095,1.0,0.018740885397471096,0.02157859151424507
23.0,-0.03508005570175946,0.9800178013515002,4.952204396624917,1.0,0.018914314275266304,0.021350102070659568
24.0,-0.033804235899069626,0.9810272200646136,4.932156871187817,1.0,0.01907298077193644,0.021219898238932347
25.0,-0.03261850420117131,0.9809144139826858,4.90656736498724,1.0,0.019221321278822867,0.020987764410103735
26.0,-0.031492524547557556,0.9814081462076258,4.886889546948443,1.0,0.019355606740342937,0.020712043779198802
27.0,-0.030418065075500753,0.9809286298314117,4.862677922489775,1.0,0.019474580571546295,0.020522379799568086
28.0,-0.029399864673618284,0.9804733875425072,4.840392521856142,1.0,0.019582205745206138,0.020472475998254025
29.0,-0.028450856933146532,0.980085679653525,4.816044089666982,1.0,0.019684457727585154,0.020375468315636875
30.0,-0.02752677790339346,0.9794460665172655,4.79124195639072,1.0,0.01977962585732699,0.02039668861239677
31.0,-0.026639610477666414,0.979093684650376,4.769072286492434,1.0,0.019872668917277125,0.020107790985953465
32.0,-0.025802343607366766,0.9784036341675956,4.742136033635065,1.0,0.01995123972371306,0.01998318344223881
33.0,-0.02499281669014796,0.9780837498613068,4.707911067920866,1.0,0.020022402986921935,0.0200612716067298
34.0,-0.02418159123948674,0.9777000206847907,4.680878359293714,1.0,0.020094517042509724,0.01996373505595839
35.0,-0.0234238002080027,0.9768572571293375,4.660868626941902,1.0,0.020160507285938586,0.01987199881442326
36.0,-0.02269090751579781,0.9761083908000744,4.636107161216093,1.0,0.020220806816698408,0.01981513290885081
37.0,-0.021972534664467407,0.9754763002586347,4.614610231976529,1.0,0.020276998589231467,0.0198938530800623
38.0,-0.021286517148966854,0.9755701973401504,4.574456598240318,1.0,0.020334636471521755,0.019948651343979405
39.0,-0.020644897081285654,0.9752217570982837,4.552523837567604,1.0,0.020392698977038097,0.02004948469133669
40.0,-0.019996899464713135,0.9748210113577933,4.527471153241852,1.0,0.02045300261765814,0.020196370372610767
41.0,-0.019409113369005665,0.9747781516580085,4.501841367285716,1.0,0.020517298634813913,0.02040551233157399
42.0,-0.018825639966677195,0.9747812190428126,4.472584790053611,1.0,0.020587928962144092,0.020426933631783262
43.0,-0.018217424571385348,0.9746954883331542,4.44896503106486,1.0,0.020657153612782413,0.020449779253455765
44.0,-0.01766407334914885,0.9742369369266747,4.426193383383308,1.0,0.020725067299553274,0.020604842315750906
45.0,-0.017133340997075655,0.9743909838971946,4.399038971455532,1.0,0.020796992914088427,0.020657716840477805
46.0,-0.016613332383721646,0.9737513041517504,4.383037541641567,1.0,0.020868693365822748,0.02070091466864385
47.0,-0.016093747923495275,0.9737257645020921,4.35208418234573,1.0,0.020939778247805796,0.020763684260900632
48.0,-0.015600017425205547,0.9743098984540057,4.325051884744065,1.0,0.021011040590488944,0.020799154421235345
49.0,-0.015132884173940245,0.9742551884167147,4.302908919898944,1.0,0.021081372925844992,0.02105861414203173
50.0,-0.014698546398219325,0.9739663515229183,4.282991109980306,1.0,0.021159758980631514,0.021128053735498746
51.0,-0.014239513669895806,0.974197431724814,4.260723205757974,1.0,0.02123830721945583,0.02113781522291365
52.0,-0.013820355494650674,0.9741703938024042,4.238448421712,1.0,0.021314614595134618,0.02114609435732998
53.0,-0.013412926550044725,0.9745813640630827,4.213138324138315,1.0,0.021388693125984477,0.02120780812951875
54.0,-0.012986093173672645,0.9751181540536739,4.190535148378354,1.0,0.021462753188469692,0.02117731806633249
55.0,-0.01261973999423799,0.9754052528873712,4.165264944035487,1.0,0.021533097701632836,0.021188485662780393
56.0,-0.012234544171032804,0.9754275643540625,4.144109221176688,1.0,0.02160151574650194,0.021334022648246055
57.0,-0.011915588010165415,0.9755179223579418,4.1264720797677095,1.0,0.021673441971164893,0.02139147440888793
58.0,-0.0115575379217992,0.9754346817342034,4.1051002301981745,1.0,0.021745229212512724,0.021465654758288533
59.0,-0.011241216821948796,0.9761468085846265,4.090531123698767,1.0,0.02181754648291912,0.021523209658243992
60.0,-0.010913850737686276,0.9764260380138378,4.066022088679223,1.0,0.021889706660734132,0.021504390707432902
61.0,-0.010575385363830823,0.9765573470973566,4.050271006185274,1.0,0.021958654915447406,0.02169409671272606
62.0,-0.01029636757097919,0.9760725575672958,4.0404394517017215,1.0,0.022032841042646405,0.021864703078361854
63.0,-0.010010995106059496,0.9762080592825871,4.016404102988899,1.0,0.022111311496940723,0.022035885599324886
64.0,-0.009740756094967412,0.9765119346399416,3.9953045499748416,1.0,0.02219393545883544,0.022190315901179796
65.0,-0.009515431224680142,0.9767409051456215,3.977508095432258,1.0,0.022279890286916702,0.022360618967038972
66.0,-0.009287469748341139,0.977033730507591,3.965613313251987,1.0,0.022369693620832402,0.022314154486864343
67.0,-0.00902384505566096,0.9768497279609936,3.9539311411817653,1.0,0.022454538935530143,0.02236498411989496
68.0,-0.0087623338375519,0.9771562101518838,3.9258225662947246,1.0,0.022538489704739095,0.02232728547127838
69.0,-0.008522994176423162,0.9769080612019908,3.9210112370227,1.0,0.02261803113650928,0.022405422241165134
70.0,-0.008290113348538011,0.9761637838123004,3.9206547167675176,1.0,0.02269794742261875,0.02253940005355503
71.0,-0.008092755295322452,0.9766308523329161,3.9017130723356153,1.0,0.022780459935585366,0.022584358393273964
72.0,-0.007860306326943933,0.9766588771327108,3.890709632556713,1.0,0.0228619154223517,0.022574959828563237
73.0,-0.00768346723543374,0.9769546724166596,3.8804691727116127,1.0,0.022940170592362315,0.022461206015593833
74.0,-0.007464323511829064,0.9768013817551306,3.877473140023467,1.0,0.023011161156372126,0.02248960264400469
75.0,-0.007353436494962642,0.9769220812971863,3.8640290341421175,1.0,0.023080825895332134,0.02267410930850708
76.0,-0.0071662158429578945,0.9769627896381181,3.855663568200626,1.0,0.023155456314002988,0.022584310866418676
77.0,-0.007005387165008843,0.976844842914399,3.8474540973837534,1.0,0.023223903273513834,0.022721975420726646
78.0,-0.006903286669830516,0.9766394394798635,3.842069736671161,1.0,0.02329548175575981,0.022835814631560945
79.0,-0.006800873125455405,0.9769057902543323,3.833596403103279,1.0,0.02336912665238688,0.022934644750539527
80.0,-0.006604542477087543,0.9770115055064222,3.8115112641180056,1.0,0.023444163785826894,0.023034552427211915
81.0,-0.006412555268592023,0.9768990444181576,3.8124907878819716,1.0,0.023520583397554945,0.023204175940541256
82.0,-0.006215112504713932,0.977102578350265,3.8086573539437176,1.0,0.023601122609299544,0.023333446008102155
83.0,-0.006060163887562057,0.9764452655076774,3.818407817337338,1.0,0.023684020006988677,0.023204379926218884
84.0,-0.005929220895523347,0.976617877152538,3.805374733727453,1.0,0.023758858938355304,0.023251606027808916
85.0,-0.005778015939355576,0.9767755636806907,3.7998847599764165,1.0,0.023832974776614623,0.023267374748943512
86.0,-0.005669264276512464,0.9767970410850616,3.789782095485514,1.0,0.0239051346835263,0.0233351679758642
87.0,-0.00560611591334809,0.9768648597653984,3.789395345999639,1.0,0.02397748663563299,0.02334621271873122
88.0,-0.005517516388113463,0.9770910962979477,3.789071475664771,1.0,0.02404775217508391,0.023411631946985208
89.0,-0.005432709339753689,0.977542638333663,3.775014954707852,1.0,0.024118177824353118,0.023515741826469518
90.0,-0.005283029617163461,0.9773600039253141,3.7689883840612297,1.0,0.024190305212302084,0.02347164411864166
91.0,-0.00514146003687097,0.9775567715945406,3.763157055963431,1.0,0.02425814074813045,0.023527049295388104
