k,tau_100,tau_200,tau_300,tau_400,tau_500,tau_600,tau_700,tau_800,tau_900,tau_1000,tau_1100,tau_1200,tau_1300,tau_1400,tau_1500,tau_1600,tau_1700,tau_1800,tau_1900,tau_2000,tau_2100,tau_2200,tau_2300,tau_2400,tau_2500,tau_2600,tau_2700,tau_2800,tau_2900,tau_3000,tau_3100,tau_3200,tau_3300,tau_3400,tau_3500,tau_3600,tau_3700,tau_3800,tau_3900,tau_4000,tau_4100,tau_4200,tau_4300,tau_4400,tau_4500,tau_4600,tau_4700,tau_4800,tau_4900,tau_5000
1.0,4215.178014108636,4172.560970947605,4244.976059503949,4335.921050585472,4459.79875634386,4413.010872359488,4281.986786099886,3885.5380510332216,3212.409685201948,2456.957465884913,1661.28437431861,988.8809373908739,538.0589845982383,258.67482182954717,120.34265002795492,48.25727666775364,18.275744095057945,5.172311783765865,1.4293737606439494,1.4000521732804194,0.6767032532940763,1.0089628765607452,0.7581332902219626,1.0069655620947535,0.39406560990053846,1.0315224244715577,0.8222564620064747,0.690661239291092,0.7602527029770916,0.28128168619283617,1.1707782853605124,1.29370990506269,1.3405218365449405,0.8025885589976821,0.8121692015973802,0.35629254459494847,0.423206415741829,0.565756674835908,0.5582335141234424,0.7538025154736688,0.9791984344589657,0.6129768150383058,0.9649813205759652,0.9599609489853012,0.898341876732753,0.9303801469261455,0.6213588868209119,1.0586411967329608,1.208146540022004,1.2346696391449565
2.0,372.0263917995317,80.10632959465586,15.679704519696196,2.7644716894600037,0.4933632679379067,0.1984162092421262,0.28701917932154486,0.32102501130505784,0.48713995212142,0.42815262198679666,0.19064488452548534,0.43609312240075965,0.35133782099561195,0.2394821188333461,0.06341833475241267,0.14723438502652764,0.2812338839696471,0.23331361604440784,0.08157663418638669,0.17916482994534003,0.3780763663748706,0.1405577732090388,0.24629997675823012,0.18142416134178688,0.17291546724229043,0.1297073078092206,0.2103758968355949,0.163106513605084,0.19692037768151813,0.16846862164444007,0.13311035992824072,0.10399331934011635,0.23349103264116203,0.12748966304090656,0.18378726791457958,0.12784982052317062,0.12200256055287495,0.2249591544862933,0.19529874083989274,0.20824931520298406,0.07298584848224318,0.05268681128935707,0.11909644540337729,0.19559285079310737,0.19891082203602425,0.07595329762659193,0.06557600523932174,0.27908163883776155,0.21726744218038962,0.23902815015789988
3.0,16.752344694981744,0.593602430502559,0.10345324269289877,0.10628463939058955,0.05356492226261953,0.07437094984850125,0.08023163044076793,0.1224946699018289,0.06223812996056307,0.06020341040073877,0.10866044567870592,0.07299069829870232,0.06627302079676314,0.016119486543824592,0.0764427580223312,0.06119776526709872,0.0556604724070854,0.037707654457901384,0.07195945573099931,0.06152956136758561,0.06688153100438914,0.04832435619149753,0.0398775199813081,0.018232372741659474,0.06003215002823329,0.056090693306289935,0.025440062688042393,0.03949173413442067,0.07736664164971738,0.03783046823703091,0.049799782127649066,0.06324926047351614,0.06276869733065746,0.10071534141617748,0.047512123015432846,0.023561766601533685,0.030207314000863857,0.07824908111794904,0.032714289065692743,0.06602648541108802,0.05926193357539186,0.030833160998795094,0.06974632229109179,0.04709827821811707,0.06379906425634169,0.03417016933542531,0.03691265816145406,0.05810836523324765,0.06395726853728403,0.04874264460646734
4.0,0.7371359961899413,0.029831013710908166,0.015073598599047158,0.019695658645717932,0.01860597512811944,0.01967115995645584,0.00788051163877082,0.015816528307771194,0.01721626758983333,0.01011040258681007,0.007388234078162081,0.010494441135143334,0.011796380385153578,0.016287273943507187,0.004771734138352777,0.016220878254285028,0.00466998571221926,0.015384715836577656,0.0123378071593668,0.010451934719276149,0.013605733591907343,0.011776740779052688,0.009103781553560761,0.006587963581329903,0.010994322748577368,0.007349669795495724,0.011901607069992897,0.011398703613191308,0.011403494908177427,0.007353183009791666,0.010083563766041697,0.015303024062551442,0.009118943562624774,0.006356496088075403,0.005249326141664318,0.010562251717788167,0.009056859086856935,0.009157778243453797,0.009954225485588058,0.009224735287294271,0.0137026551373732,0.007416007879610089,0.013148705475734873,0.008169710647830097,0.00963136133592971,0.007350017965411354,0.013670752782600284,0.010974377780450857,0.01089097187288266,0.013734532251054683
5.0,0.06809022036022692,0.0022784571256490066,0.0024732884170560634,0.0016779867077898066,0.002342784362795484,0.0017164602185121215,0.0014972583420332,0.0018699235839966665,0.0015948282528302263,0.0012370237804212782,0.001521854566297111,0.0019108439628248396,0.0013859180959941392,0.0011754741295892488,0.0011136807281690835,0.0022073246248207634,0.001148879753992596,0.0007272782296617913,0.0013001056996989782,0.0018385012486156918,0.0017232116270098246,0.001953867416337931,0.0015998740490268536,0.001573523400755254,0.0011976652047049428,0.0013089426603461389,0.001774069320199616,0.0011058064381696965,0.0019305318112957555,0.0018185436475876852,0.0014255241138133412,0.0011627604879887704,0.0011252998621881683,0.0016990325549908574,0.0013384901914758316,0.0013037164360894602,0.0015710394790592538,0.0015691359458656804,0.0015085089972192909,0.0014659476046481388,0.0019261642549765665,0.0013679834771810207,0.0010226234219261096,0.0019354493187492491,0.001474258899357379,0.001028739411410156,0.001542877857088813,0.0014154616776298075,0.002382520339770424,0.0013840292692890107
6.0,0.031227549954796874,0.0003763741326772155,0.000250789633729951,0.00027301697227878033,0.00017099106828327056,0.0003262690749078883,0.00023080330901312332,0.00022182494451464534,0.0002518535212239561,0.0001514424059610648,0.00024978661186897394,0.00011689829495558676,0.0002462505828683125,0.00015040204322508478,0.00014274062043408557,0.0002472109549867357,0.00014476440089483152,0.00024300885293362804,0.00019303811801651673,0.0001840705978631757,0.00020289659852302456,0.00014488691168473465,9.832160455167398e-5,0.00017655105579496535,0.00024182620877148133,9.708200033190691e-5,0.0001302998463129941,0.0002541476413257391,0.0002515757047725048,0.0001468668207997877,0.00016255296173971076,0.00014320326129852872,0.00026378973225386063,0.00024145809670009878,0.00021278658902205064,0.00010751837772418832,0.00016126011730275265,0.0001305191225240455,0.00017808667049073096,0.00014459220773534818,0.00021096094769079056,0.00014785892901321467,0.00016390235779722512,7.43330106238821e-5,0.00017747234721370722,0.00016479081568454554,0.00015956571087667783,0.0001800257350529147,0.00010852367800683436,0.00014841455643734215
7.0,0.028515507713782206,4.071421634536536e-5,2.61872132626894e-5,2.4916978767618315e-5,1.9767809663923457e-5,1.5500146009223382e-5,1.8328237663957516e-5,1.5946096301053675e-5,1.835705141797201e-5,2.459094685904509e-5,2.318215514505429e-5,1.9170427471677255e-5,1.7678647511638772e-5,1.6185173580724367e-5,2.2188167178773868e-5,1.3922284715194046e-5,2.0188479017439115e-5,1.1242062819253158e-5,1.4402720639971586e-5,1.272857031578797e-5,1.309322944755814e-5,1.214917771163337e-5,1.4236298285195603e-5,1.3438569831713295e-5,1.3970094455731141e-5,1.1090656803227966e-5,1.1233762305446244e-5,1.4978291167635292e-5,1.7819370527559996e-5,1.7131859587573893e-5,1.493221088129987e-5,1.955117435430549e-5,1.0632333838652815e-5,2.3633066405148123e-5,9.363540017935754e-6,1.1422770423293904e-5,1.1148624421484329e-5,1.2635156781913387e-5,1.7268595321386976e-5,1.5204277120008571e-5,2.0780943142740668e-5,1.563462470009592e-5,1.3948414470404304e-5,1.5402565145899932e-5,9.427217510235117e-6,1.8931809718321617e-5,1.2030448937542182e-5,7.287925416438929e-6,2.114852960021927e-5,1.0902750481123564e-5
8.0,0.02667494586019648,2.3371766634457634e-5,1.232628640741151e-6,1.2562737378019363e-6,1.009044410261175e-6,1.2242966130761487e-6,1.7567488778014973e-6,1.4994733583448455e-6,1.3745261140484668e-6,1.3237466767961557e-6,5.38545414040831e-7,1.082835003990617e-6,8.569424419053963e-7,9.118422165678378e-7,8.91046797103162e-7,7.936979647471767e-7,4.82885068902327e-7,8.837062057998089e-7,8.42186427089621e-7,1.2553126052616152e-6,9.32712412716341e-7,5.693933802853127e-7,6.938561224843394e-7,1.2361823528373546e-6,9.265568280618807e-7,6.877535316323966e-7,8.357278545095635e-7,1.0089304616345328e-6,9.334449978282638e-7,6.227724706636923e-7,1.1601256219639595e-6,5.525756490158668e-7,6.885926783363703e-7,8.481786528084514e-7,8.518529875847117e-7,1.1858515887455737e-6,7.268818746754862e-7,1.1586143395832724e-6,9.0991553333631e-7,6.007687024357103e-7,6.828477393958466e-7,6.261069003411072e-7,8.959973568316001e-7,6.11937569970262e-7,7.575317758071597e-7,7.709862693497514e-7,1.051150433756115e-6,9.233121505959208e-7,1.3478174702211562e-6,7.679886993594167e-7
9.0,0.04246359863567689,3.247072360140382e-5,7.123823020190938e-8,3.711895136649851e-8,1.8758086245523047e-8,2.349445409710698e-8,2.0200323102897327e-8,2.6439142892044217e-8,1.0863337651982517e-8,2.5378951288383603e-8,2.3724822700425896e-8,2.7801421735593948e-8,2.440753859372377e-8,5.1508822090386116e-8,3.6466984816165425e-8,3.3657864456890325e-8,1.173194964262256e-8,2.20840547612553e-8,2.3697039676880525e-8,2.715758033832954e-8,2.8150487228716796e-8,1.4044766582016315e-8,4.510354575302167e-8,1.3819548373379244e-8,2.1390353509335878e-8,1.4547321329374434e-8,3.258853949273203e-8,2.1561224287796817e-8,2.2298702339583848e-8,1.5641685749702788e-8,2.1937670527778515e-8,1.2740296622421803e-8,7.99094695665756e-9,2.5480984805436946e-8,1.822325573077706e-8,1.868083169737176e-8,1.9930559999269838e-8,3.470285981000531e-8,1.8659471962046283e-8,2.194697376463133e-8,1.1806194910765977e-8,3.844822822319078e-8,1.4684192202812715e-8,1.2702275267637626e-8,2.9848991578825866e-8,2.2232687659547542e-8,2.3886327841339696e-8,1.7604745331726656e-8,8.916118718198357e-9,1.1069990943801523e-8
10.0,0.029922259685783836,2.2700014012994818e-5,7.405824322236932e-8,6.889048386298994e-8,6.810235547799648e-8,4.555634867993947e-8,4.489120808326971e-8,8.22161478152216e-8,4.545399203839775e-8,3.7121506610424366e-8,2.0577878063139012e-8,2.759994218718482e-8,4.430346965457223e-8,3.06122509501504e-8,3.211510914621602e-8,3.725307681923325e-8,4.191061000011466e-8,2.693338490461581e-8,2.1682838521214333e-8,4.028969300064547e-8,2.9499718960017043e-8,5.962813683716433e-8,3.963777543927189e-8,5.792410525368227e-8,2.5577244541001286e-8,3.162578928670594e-8,3.972211833928117e-8,2.53179543678093e-8,4.641869480838864e-8,3.931154236819469e-8,3.790192759211017e-8,3.7976876798384434e-8,2.8038588248489915e-8,2.9549349508735857e-8,5.686468433106011e-8,3.543738339116467e-8,4.6557707674031664e-8,3.4028549120266646e-8,2.4142533003094052e-8,2.217237435411504e-8,3.853903624098951e-8,3.093930201680433e-8,3.3672816950081375e-8,4.962022132345455e-8,2.7997257671044672e-8,3.349787493638633e-8,3.916353443951354e-8,4.084755102417476e-8,3.894914506072932e-8,1.984479969476314e-8
