Step,Phi_Angle,K_Strength
1,-0.7023339434663974,0.04072734401504181
2,-2.718245693802772,0.03210721220590232
3,-2.7051235761887895,0.07425284065534124
4,-0.9605465348815617,0.11009095059429967
5,1.406415126228521,0.06572661902622136
6,0.9995458586466455,0.02684079227910431
7,0.08057435403277723,0.0248177428801753
8,-0.824193911506415,0.05438010759209761
9,-1.5886221671358993,0.07779906103380184
10,-2.270062674774536,0.09275634133314568
11,-2.9307805131891462,0.09891839928735523
12,2.7008493061395438,0.09649628094123465
13,2.0543266467162518,0.08701915001542324
14,1.3946439986480723,0.07310823178606966
15,0.7113037342467969,0.05866006323346002
16,0.0422593443174997,0.050499707380425383
17,-0.5353917054184867,0.05618142075319812
18,-0.9897134113069359,0.07374147396299013
19,-1.3500565133832125,0.09635500551701742
20,-1.6601903014349488,0.11993519687844882
21,-1.9548781458340458,0.14239221982774153
22,-2.2587153274623097,0.1623377854668212
23,-2.58950140301832,0.17848310357501412
24,-2.9601079540142217,0.189233157275355
25,2.9056186558913413,0.1926091479664941
26,2.443705717405047,0.18676372291363938
27,1.9528810334049405,0.17092365150821265
28,1.4603707022656038,0.14608955667870235
29,0.9958228766170272,0.114930793489636
30,0.5801229703522661,0.08134896647935333
31,0.22073416807710597,0.05155699527153786
32,-0.08559186173579138,0.04086822717952555
33,-0.347638605118821,0.05910807901041964
34,-0.5757331149625852,0.08795352119373383
35,-0.7796618877239656,0.11812238594020044
36,-0.9679161156704092,0.14748160779722724
37,-1.1476077073042543,0.1755117795185424
38,-1.3246408445860143,0.20194958197489243
39,-1.5039301436237429,0.22639564936529133
40,-1.6895728512295665,0.24834630088750323
41,-1.8849365621857228,0.26731587697787634
42,-2.092650813820507,0.2828552346784462
43,-2.3145105243029125,0.2945192728103081
44,-2.551317824436582,0.30185708723438226
45,-2.8027096553870186,0.304444202576503
46,-3.0670391333199585,0.30194975724849815
47,2.9417978396607367,0.29421786506044895
48,2.661420481987625,0.2813346041179496
49,2.379678494386979,0.2636573370392466
50,2.101381933746295,0.24180218066087067
51,1.8309422793821022,0.21660828802974746
52,1.5719366888379591,0.18911467136434132
53,1.3268608937276634,0.16059826954864861
54,1.0970836524345118,0.13274505380788384
55,0.8829599737611264,0.10806433644207138
56,0.6840354873784827,0.09051326739646588
57,0.4992782935371989,0.08499498913659806
58,0.3272939214853654,0.09325328112362892
59,0.16650065557583016,0.111525717838979
60,0.015259220124574037,0.13495967958419505
61,-0.12803922647930358,0.16043260643580332
62,-0.2649185421413276,0.1862271499355457
63,-0.3967875492001247,0.21136212021445133
64,-0.5249265759663708,0.23524582869544872
65,-0.6504843098372994,0.25752527058959934
66,-0.774480353758054,0.27800688410846486
67,-0.8978103638282642,0.2966013753254589
68,-1.021251805772037,0.31328260415686504
69,-1.1454691894802016,0.3280586653602527
70,-1.2710182073438703,0.34095297506041855
71,-1.398348604730049,0.3519927324970558
72,-1.5278059104783361,0.36120247699330854
73,-1.659632385125086,0.3686010899625638
74,-1.7939677196140564,0.3742011821655689
75,-1.9308501394715287,0.3780102712917913
76,-2.0702186315348454,0.38003350496897975
77,-2.2119169999584716,0.38027795017820626
78,-2.355700363198535,0.3787586700233688
79,-2.5012445181981287,0.3755069337987525
80,-2.6481583286590626,0.3705809086338992
81,-2.7959989641413445,0.3640789586039626
82,-2.94428946538447,0.3561550353374907
83,-3.0925377889511165,0.34703416403563975
84,3.0429290708151613,0.33702267555986826
85,2.896205301700484,0.3265009474649502
86,2.7509018664924767,0.3158807186568493
87,2.6073929297795324,0.30553095429508303
88,2.465994069921161,0.29572410018839734
89,2.3269605261705264,0.28663965787866963
90,2.190489456588558,0.27839981295329097
91,2.056724469856992,0.2711039311764788
92,1.925761115308845,0.2648517046674321
93,1.7976525575602083,0.2597560713232286
94,1.6724150406791962,0.2559483630580092
95,1.5500329661558088,0.2535771657983932
96,1.4304635267653458,0.2528016696688468
97,1.3136408979859342,0.2537802515912658
98,1.1994800156209264,0.25665552002394426
99,1.0878799768826204,0.2615375994482541
100,0.9787270982944404,0.26848676668328014
101,0.8718976352703793,0.27748541546206423
102,0.7672598837264852,0.2882228255126168
103,0.6646736830097011,0.29979767505829946
104,0.5639889002439367,0.31152654804248364
105,0.46504908531527206,0.32299151114406
106,0.36769659258445686,0.3339243356039982
107,0.27177675852803085,0.34416115131259617
108,0.17714107195034526,0.35361057328885004
109,0.08364950335493163,0.3622305989794516
110,-0.00882784113958188,0.370012149886021
