Step,Phi,Universe
2010,-1.7411953006640817,Newtonian
2020,-1.7411911822972104,Newtonian
2030,-1.7411871046795198,Newtonian
2040,-1.7411830672090987,Newtonian
2050,-1.7411790692958449,Newtonian
2060,-1.7411751103611641,Newtonian
2070,-1.7411711898376923,Newtonian
2080,-1.7411673071690192,Newtonian
2090,-1.7411634618094383,Newtonian
2100,-1.7411596532236815,Newtonian
2110,-1.7411558808866678,Newtonian
2120,-1.7411521442832734,Newtonian
2130,-1.7411484429080804,Newtonian
2140,-1.7411447762651702,Newtonian
2150,-1.7411411438678797,Newtonian
2160,-1.7411375452386042,Newtonian
2170,-1.741133979908578,Newtonian
2180,-1.7411304474176676,Newtonian
2190,-1.7411269473141877,Newtonian
2200,-1.7411234791546932,Newtonian
2210,-1.7411200425038005,Newtonian
2220,-1.7411166369340034,Newtonian
2230,-1.741113262025497,Newtonian
2240,-1.7411099173659985,Newtonian
2250,-1.7411066025505912,Newtonian
2260,-1.7411033171815489,Newtonian
2270,-1.741100060868186,Newtonian
2280,-1.741096833226694,Newtonian
2290,-1.7410936338799998,Newtonian
2300,-1.7410904624576118,Newtonian
2310,-1.7410873185954796,Newtonian
2320,-1.7410842019358523,Newtonian
2330,-1.7410811121271481,Newtonian
2340,-1.7410780488238173,Newtonian
2350,-1.7410750116862117,Newtonian
2360,-1.7410720003804685,Newtonian
2370,-1.7410690145783756,Newtonian
2380,-1.7410660539572638,Newtonian
2390,-1.7410631181998737,Newtonian
2400,-1.7410602069942693,Newtonian
2410,-1.741057320033699,Newtonian
2420,-1.741054457016506,Newtonian
2430,-1.741051617646016,Newtonian
2440,-1.741048801630438,Newtonian
2450,-1.7410460086827597,Newtonian
2460,-1.7410432385206553,Newtonian
2470,-1.741040490866387,Newtonian
2480,-1.7410377654467137,Newtonian
2490,-1.7410350619927988,Newtonian
2500,-1.7410323802401237,Newtonian
2510,-1.7410297199283984,Newtonian
2520,-1.741027080801482,Newtonian
2530,-1.7410244626072964,Newtonian
2540,-1.741021865097743,Newtonian
2550,-1.7410192880286408,Newtonian
2560,-1.741016731159625,Newtonian
2570,-1.7410141942540902,Newtonian
2580,-1.7410116770791142,Newtonian
2590,-1.7410091794053806,Newtonian
2600,-1.7410067010071144,Newtonian
2610,-1.7410042416620126,Newtonian
2620,-1.74100180115118,Newtonian
2630,-1.7409993792590623,Newtonian
2640,-1.7409969757733763,Newtonian
2650,-1.740994590485059,Newtonian
2660,-1.740992223188203,Newtonian
2670,-1.7409898736799934,Newtonian
2680,-1.7409875417606506,Newtonian
2690,-1.7409852272333803,Newtonian
2700,-1.7409829299043111,Newtonian
2710,-1.740980649582443,Newtonian
2720,-1.740978386079592,Newtonian
2730,-1.7409761392103449,Newtonian
2740,-1.7409739087919998,Newtonian
2750,-1.7409716946445226,Newtonian
2760,-1.740969496590494,Newtonian
2770,-1.7409673144550732,Newtonian
2780,-1.7409651480659376,Newtonian
2790,-1.7409629972532399,Newtonian
2800,-1.7409608618495738,Newtonian
2810,-1.7409587416899168,Newtonian
2820,-1.7409566366116,Newtonian
2830,-1.7409545464542575,Newtonian
2840,-1.7409524710597932,Newtonian
2850,-1.7409504102723334,Newtonian
2860,-1.7409483639381904,Newtonian
2870,-1.7409463319058267,Newtonian
2880,-1.7409443140258214,Newtonian
2890,-1.740942310150815,Newtonian
2900,-1.740940320135499,Newtonian
2910,-1.7409383438365658,Newtonian
2920,-1.7409363811126728,Newtonian
2930,-1.740934431824413,Newtonian
2940,-1.7409324958342896,Newtonian
2950,-1.7409305730066662,Newtonian
2960,-1.7409286632077505,Newtonian
2970,-1.7409267663055537,Newtonian
2980,-1.7409248821698688,Newtonian
2990,-1.7409230106722318,Newtonian
3000,-1.740921151685899,Newtonian
3010,-1.740919305085813,Newtonian
3020,-1.7409174707485813,Newtonian
3030,-1.7409156485524424,Newtonian
3040,-1.7409138383772444,Newtonian
3050,-1.740912040104414,Newtonian
3060,-1.740910253616931,Newtonian
3070,-1.7409084787993054,Newtonian
3080,-1.740906715537552,Newtonian
3090,-1.7409049637191658,Newtonian
3100,-1.7409032232330957,Newtonian
3110,-1.740901493969725,Newtonian
3120,-1.7408997758208449,Newtonian
3130,-1.7408980686796354,Newtonian
3140,-1.7408963724406363,Newtonian
3150,-1.7408946869997364,Newtonian
3160,-1.7408930122541428,Newtonian
3170,-1.7408913481023611,Newtonian
3180,-1.7408896944441843,Newtonian
3190,-1.7408880511806584,Newtonian
3200,-1.7408864182140724,Newtonian
3210,-1.740884795447935,Newtonian
3220,-1.740883182786961,Newtonian
3230,-1.740881580137041,Newtonian
3240,-1.7408799874052385,Newtonian
3250,-1.7408784044997578,Newtonian
3260,-1.740876831329935,Newtonian
3270,-1.7408752678062194,Newtonian
3280,-1.7408737138401567,Newtonian
3290,-1.7408721693443614,Newtonian
3300,-1.7408706342325257,Newtonian
3310,-1.7408691084193715,Newtonian
3320,-1.7408675918206629,Newtonian
3330,-1.7408660843531714,Newtonian
3340,-1.7408645859346692,Newtonian
3350,-1.74086309648392,Newtonian
3360,-1.7408616159206443,Newtonian
3370,-1.7408601441655285,Newtonian
3380,-1.7408586811401954,Newtonian
3390,-1.7408572267671956,Newtonian
3400,-1.7408557809699936,Newtonian
3410,-1.7408543436729542,Newtonian
3420,-1.7408529148013312,Newtonian
3430,-1.740851494281245,Newtonian
3440,-1.7408500820396866,Newtonian
3450,-1.74084867800449,Newtonian
3460,-1.7408472821043255,Newtonian
3470,-1.7408458942686897,Newtonian
3480,-1.7408445144278917,Newtonian
3490,-1.7408431425130382,Newtonian
3500,-1.7408417784560302,Newtonian
3510,-1.7408404221895455,Newtonian
3520,-1.7408390736470232,Newtonian
3530,-1.740837732762665,Newtonian
3540,-1.7408363994714142,Newtonian
3550,-1.7408350737089537,Newtonian
3560,-1.740833755411686,Newtonian
3570,-1.740832444516726,Newtonian
3580,-1.7408311409619013,Newtonian
3590,-1.7408298446857258,Newtonian
3600,-1.7408285556274028,Newtonian
3610,-1.740827273726809,Newtonian
3620,-1.7408259989244876,Newtonian
3630,-1.7408247311616374,Newtonian
3640,-1.7408234703801073,Newtonian
3650,-1.740822216522384,Newtonian
3660,-1.7408209695315835,Newtonian
3670,-1.740819729351443,Newtonian
3680,-1.740818495926312,Newtonian
3690,-1.7408172692011485,Newtonian
3700,-1.7408160491215041,Newtonian
3710,-1.7408148356335187,Newtonian
3720,-1.7408136286839135,Newtonian
3730,-1.7408124282199826,Newtonian
3740,-1.7408112341895825,Newtonian
3750,-1.7408100465411291,Newtonian
3760,-1.7408088652235902,Newtonian
3770,-1.7408076901864766,Newtonian
3780,-1.7408065213798278,Newtonian
3790,-1.7408053587542232,Newtonian
3800,-1.7408042022607495,Newtonian
3810,-1.7408030518510196,Newtonian
3820,-1.7408019074771472,Newtonian
3830,-1.740800769091755,Newtonian
3840,-1.7407996366479535,Newtonian
3850,-1.7407985100993406,Newtonian
3860,-1.7407973894000048,Newtonian
3870,-1.740796274504498,Newtonian
3880,-1.7407951653678517,Newtonian
3890,-1.7407940619455566,Newtonian
3900,-1.7407929641935633,Newtonian
3910,-1.7407918720682691,Newtonian
3920,-1.740790785526522,Newtonian
3930,-1.740789704525611,Newtonian
3940,-1.7407886290232517,Newtonian
3950,-1.7407875589775996,Newtonian
3960,-1.7407864943472238,Newtonian
3970,-1.7407854350911196,Newtonian
3980,-1.740784381168694,Newtonian
3990,-1.7407833325397566,Newtonian
4000,-1.740782289164523,Newtonian
4010,-1.7407812510036096,Newtonian
4020,-1.7407802180180183,Newtonian
4030,-1.7407791901691492,Newtonian
4040,-1.7407781674187741,Newtonian
4050,-1.7407771497290503,Newtonian
4060,-1.7407761370625068,Newtonian
4070,-1.7407751293820426,Newtonian
4080,-1.7407741266509176,Newtonian
4090,-1.7407731288327597,Newtonian
4100,-1.7407721358915424,Newtonian
4110,-1.740771147791596,Newtonian
4120,-1.7407701644975966,Newtonian
4130,-1.7407691859745686,Newtonian
4140,-1.740768212187864,Newtonian
4150,-1.7407672431031789,Newtonian
4160,-1.7407662786865352,Newtonian
4170,-1.740765318904286,Newtonian
4180,-1.7407643637230996,Newtonian
4190,-1.7407634131099698,Newtonian
4200,-1.7407624670322,Newtonian
4210,-1.740761525457414,Newtonian
4220,-1.7407605883535315,Newtonian
4230,-1.7407596556887814,Newtonian
4240,-1.7407587274316954,Newtonian
4250,-1.740757803551099,Newtonian
4260,-1.7407568840161132,Newtonian
4270,-1.7407559687961467,Newtonian
4280,-1.7407550578608961,Newtonian
4290,-1.740754151180338,Newtonian
4300,-1.7407532487247306,Newtonian
4310,-1.7407523504646136,Newtonian
4320,-1.7407514563707909,Newtonian
4330,-1.7407505664143443,Newtonian
4340,-1.7407496805666212,Newtonian
4350,-1.7407487987992278,Newtonian
4360,-1.7407479210840369,Newtonian
4370,-1.7407470473931774,Newtonian
4380,-1.740746177699034,Newtonian
4390,-1.7407453119742402,Newtonian
4400,-1.7407444501916853,Newtonian
4410,-1.7407435923244974,Newtonian
4420,-1.7407427383460532,Newtonian
4430,-1.7407418882299697,Newtonian
4440,-1.7407410419501022,Newtonian
4450,-1.7407401994805372,Newtonian
4460,-1.7407393607955979,Newtonian
4470,-1.740738525869839,Newtonian
4480,-1.7407376946780428,Newtonian
4490,-1.7407368671952095,Newtonian
4500,-1.740736043396572,Newtonian
4510,-1.7407352232575772,Newtonian
4520,-1.7407344067538901,Newtonian
4530,-1.7407335938613928,Newtonian
4540,-1.740732784556178,Newtonian
4550,-1.7407319788145534,Newtonian
4560,-1.7407311766130316,Newtonian
4570,-1.7407303779283272,Newtonian
4580,-1.740729582737368,Newtonian
4590,-1.7407287910172742,Newtonian
4600,-1.740728002745371,Newtonian
4610,-1.7407272178991804,Newtonian
4620,-1.740726436456415,Newtonian
4630,-1.7407256583949864,Newtonian
4640,-1.7407248836929903,Newtonian
4650,-1.7407241123287156,Newtonian
4660,-1.7407233442806374,Newtonian
4670,-1.7407225795274157,Newtonian
4680,-1.7407218180478916,Newtonian
4690,-1.7407210598210878,Newtonian
4700,-1.740720304826207,Newtonian
4710,-1.7407195530426274,Newtonian
4720,-1.740718804449903,Newtonian
4730,-1.7407180590277582,Newtonian
4740,-1.7407173167560939,Newtonian
4750,-1.7407165776149793,Newtonian
4760,-1.7407158415846447,Newtonian
4770,-1.740715108645499,Newtonian
4780,-1.7407143787781003,Newtonian
4790,-1.7407136519631838,Newtonian
4800,-1.7407129281816351,Newtonian
4810,-1.740712207414504,Newtonian
4820,-1.7407114896429985,Newtonian
4830,-1.7407107748484774,Newtonian
4840,-1.7407100630124597,Newtonian
4850,-1.7407093541166119,Newtonian
4860,-1.7407086481427563,Newtonian
4870,-1.7407079450728618,Newtonian
4880,-1.7407072448890468,Newtonian
4890,-1.7407065475735746,Newtonian
4900,-1.740705853108857,Newtonian
4910,-1.7407051614774451,Newtonian
4920,-1.740704472662035,Newtonian
4930,-1.7407037866454602,Newtonian
4940,-1.740703103410698,Newtonian
4950,-1.7407024229408592,Newtonian
4960,-1.7407017452191946,Newtonian
4970,-1.7407010702290882,Newtonian
4980,-1.740700397954057,Newtonian
4990,-1.7406997283777526,Newtonian
5000,-1.7406990614839535,Newtonian
5010,-1.7406983837264163,Newtonian
5020,-1.74069770872828,Newtonian
5030,-1.7406970364727248,Newtonian
5040,-1.7406963669430715,Newtonian
5050,-1.7406957001227694,Newtonian
5060,-1.7406950359954059,Newtonian
5070,-1.7406943745447043,Newtonian
5080,-1.7406937157545104,Newtonian
5090,-1.7406930596088028,Newtonian
5100,-1.7406924060916942,Newtonian
5110,-1.7406917551874135,Newtonian
5120,-1.740691106880327,Newtonian
5130,-1.7406904611549197,Newtonian
5140,-1.7406898179957992,Newtonian
5150,-1.740689177387694,Newtonian
5160,-1.7406885393154607,Newtonian
5170,-1.7406879037640643,Newtonian
5180,-1.7406872707186027,Newtonian
5190,-1.7406866401642784,Newtonian
5200,-1.7406860120864152,Newtonian
5210,-1.7406853864704515,Newtonian
5220,-1.7406847633019418,Newtonian
5230,-1.7406841425665516,Newtonian
5240,-1.740683524250056,Newtonian
5250,-1.740682908338344,Newtonian
5260,-1.7406822948174112,Newtonian
5270,-1.7406816836733676,Newtonian
5280,-1.7406810748924237,Newtonian
5290,-1.740680468460899,Newtonian
5300,-1.7406798643652182,Newtonian
5310,-1.7406792625919112,Newtonian
5320,-1.7406786631276154,Newtonian
5330,-1.7406780659590588,Newtonian
5340,-1.740677471073082,Newtonian
5350,-1.7406768784566211,Newtonian
5360,-1.7406762880967153,Newtonian
5370,-1.7406756999804966,Newtonian
5380,-1.7406751140951988,Newtonian
5390,-1.7406745304281526,Newtonian
5400,-1.740673948966781,Newtonian
5410,-1.7406733696986054,Newtonian
5420,-1.740672792611241,Newtonian
5430,-1.7406722176923923,Newtonian
5440,-1.740671644929861,Newtonian
5450,-1.7406710743115383,Newtonian
5460,-1.740670505825403,Newtonian
5470,-1.7406699394595269,Newtonian
5480,-1.7406693752020712,Newtonian
5490,-1.740668813041281,Newtonian
5500,-1.7406682529654935,Newtonian
5510,-1.7406676949631295,Newtonian
5520,-1.7406671390226953,Newtonian
5530,-1.7406665851327825,Newtonian
5540,-1.7406660332820698,Newtonian
5550,-1.7406654834593127,Newtonian
5560,-1.7406649356533515,Newtonian
5570,-1.740664389853111,Newtonian
5580,-1.7406638460475963,Newtonian
5590,-1.7406633042258917,Newtonian
5600,-1.7406627643771604,Newtonian
5610,-1.7406622264906437,Newtonian
5620,-1.7406616905556656,Newtonian
5630,-1.7406611565616203,Newtonian
5640,-1.7406606244979845,Newtonian
5650,-1.7406600943543087,Newtonian
5660,-1.7406595661202187,Newtonian
5670,-1.7406590397854151,Newtonian
5680,-1.7406585153396714,Newtonian
5690,-1.7406579927728374,Newtonian
5700,-1.7406574720748318,Newtonian
5710,-1.7406569532356457,Newtonian
5720,-1.7406564362453472,Newtonian
5730,-1.7406559210940658,Newtonian
5740,-1.7406554077720098,Newtonian
5750,-1.740654896269451,Newtonian
5760,-1.740654386576732,Newtonian
5770,-1.7406538786842636,Newtonian
5780,-1.740653372582527,Newtonian
5790,-1.740652868262066,Newtonian
5800,-1.740652365713491,Newtonian
5810,-1.7406518649274816,Newtonian
5820,-1.7406513658947804,Newtonian
5830,-1.7406508686061974,Newtonian
5840,-1.7406503730526004,Newtonian
5850,-1.7406498792249292,Newtonian
5860,-1.7406493871141786,Newtonian
5870,-1.7406488967114142,Newtonian
5880,-1.7406484080077569,Newtonian
5890,-1.7406479209943895,Newtonian
5900,-1.740647435662558,Newtonian
5910,-1.7406469520035703,Newtonian
5920,-1.7406464700087914,Newtonian
5930,-1.7406459896696433,Newtonian
5940,-1.7406455109776133,Newtonian
5950,-1.740645033924242,Newtonian
5960,-1.740644558501128,Newtonian
5970,-1.7406440846999307,Newtonian
5980,-1.7406436125123634,Newtonian
5990,-1.7406431419301946,Newtonian
6000,-1.740642672945253,Newtonian
6010,-1.740642205549417,Newtonian
6020,-1.7406417397346277,Newtonian
6030,-1.7406412754928724,Newtonian
6040,-1.7406408128161976,Newtonian
6050,-1.7406403516967013,Newtonian
6060,-1.7406398921265345,Newtonian
6070,-1.7406394340979034,Newtonian
6080,-1.740638977603066,Newtonian
6090,-1.7406385226343235,Newtonian
6100,-1.7406380691840426,Newtonian
6110,-1.7406376172446303,Newtonian
6120,-1.740637166808549,Newtonian
6130,-1.7406367178683075,Newtonian
6140,-1.740636270416472,Newtonian
6150,-1.7406358244456472,Newtonian
6160,-1.7406353799484955,Newtonian
6170,-1.7406349369177205,Newtonian
6180,-1.7406344953460808,Newtonian
6190,-1.7406340552263777,Newtonian
6200,-1.7406336165514615,Newtonian
6210,-1.7406331793142304,Newtonian
6220,-1.7406327435076272,Newtonian
6230,-1.7406323091246414,Newtonian
6240,-1.7406318761583086,Newtonian
6250,-1.7406314446017108,Newtonian
6260,-1.7406310144479735,Newtonian
6270,-1.7406305856902657,Newtonian
6280,-1.7406301583218007,Newtonian
6290,-1.7406297323358422,Newtonian
6300,-1.7406293077256871,Newtonian
6310,-1.7406288844846842,Newtonian
6320,-1.7406284626062203,Newtonian
6330,-1.7406280420837255,Newtonian
6340,-1.7406276229106743,Newtonian
6350,-1.7406272050805784,Newtonian
6360,-1.7406267885869966,Newtonian
6370,-1.740626373423525,Newtonian
6380,-1.7406259595838027,Newtonian
6390,-1.7406255470615108,Newtonian
6400,-1.7406251358503622,Newtonian
6410,-1.740624725944118,Newtonian
6420,-1.7406243173365783,Newtonian
6430,-1.740623910021578,Newtonian
6440,-1.7406235039929963,Newtonian
6450,-1.7406230992447471,Newtonian
6460,-1.7406226957707827,Newtonian
6470,-1.7406222935650943,Newtonian
6480,-1.7406218926217139,Newtonian
6490,-1.740621492934706,Newtonian
6500,-1.7406210944981733,Newtonian
6510,-1.7406206973062592,Newtonian
6520,-1.740620301353138,Newtonian
6530,-1.740619906633023,Newtonian
6540,-1.7406195131401652,Newtonian
6550,-1.740619120868849,Newtonian
6560,-1.7406187298133953,Newtonian
6570,-1.7406183399681574,Newtonian
6580,-1.7406179513275275,Newtonian
6590,-1.7406175638859325,Newtonian
6600,-1.740617177637827,Newtonian
6610,-1.7406167925777114,Newtonian
6620,-1.740616408700107,Newtonian
6630,-1.740616025999577,Newtonian
6640,-1.7406156444707162,Newtonian
6650,-1.740615264108151,Newtonian
6660,-1.7406148849065413,Newtonian
6670,-1.7406145068605796,Newtonian
6680,-1.7406141299649935,Newtonian
6690,-1.7406137542145381,Newtonian
6700,-1.740613379603999,Newtonian
6710,-1.740613006128201,Newtonian
6720,-1.740612633781993,Newtonian
6730,-1.7406122625602622,Newtonian
6740,-1.7406118924579161,Newtonian
6750,-1.7406115234699029,Newtonian
6760,-1.7406111555911956,Newtonian
6770,-1.740610788816801,Newtonian
6780,-1.7406104231417532,Newtonian
6790,-1.7406100585611175,Newtonian
6800,-1.7406096950699852,Newtonian
6810,-1.7406093326634813,Newtonian
6820,-1.740608971336757,Newtonian
6830,-1.7406086110849943,Newtonian
6840,-1.7406082519034067,Newtonian
6850,-1.7406078937872265,Newtonian
6860,-1.7406075367317215,Newtonian
6870,-1.740607180732191,Newtonian
6880,-1.7406068257839522,Newtonian
6890,-1.7406064718823555,Newtonian
6900,-1.740606119022779,Newtonian
6910,-1.74060576720063,Newtonian
6920,-1.7406054164113356,Newtonian
6930,-1.7406050666503543,Newtonian
6940,-1.740604717913174,Newtonian
6950,-1.7406043701953042,Newtonian
6960,-1.7406040234922824,Newtonian
6970,-1.740603677799671,Newtonian
6980,-1.7406033331130586,Newtonian
6990,-1.740602989428065,Newtonian
7000,-1.7406026467403257,Newtonian
7010,-1.7406023050455064,Newtonian
7020,-1.7406019643392991,Newtonian
7030,-1.7406016246174218,Newtonian
7040,-1.7406012858756095,Newtonian
7050,-1.7406009481096327,Newtonian
7060,-1.7406006113152759,Newtonian
7070,-1.7406002754883538,Newtonian
7080,-1.7405999406247052,Newtonian
7090,-1.7405996067201905,Newtonian
7100,-1.7405992737706932,Newtonian
7110,-1.7405989417721242,Newtonian
7120,-1.7405986107204134,Newtonian
7130,-1.7405982806115188,Newtonian
7140,-1.740597951441415,Newtonian
7150,-1.7405976232061031,Newtonian
7160,-1.7405972959016087,Newtonian
7170,-1.7405969695239762,Newtonian
7180,-1.7405966440692748,Newtonian
7190,-1.740596319533593,Newtonian
7200,-1.7405959959130473,Newtonian
7210,-1.7405956732037684,Newtonian
7220,-1.7405953514019148,Newtonian
7230,-1.740595030503664,Newtonian
7240,-1.7405947105052155,Newtonian
7250,-1.7405943914027877,Newtonian
7260,-1.7405940731926253,Newtonian
7270,-1.7405937558709896,Newtonian
7280,-1.740593439434163,Newtonian
7290,-1.740593123878453,Newtonian
7300,-1.7405928092001814,Newtonian
7310,-1.740592495395695,Newtonian
7320,-1.7405921824613577,Newtonian
7330,-1.740591870393557,Newtonian
7340,-1.7405915591886985,Newtonian
7350,-1.7405912488432045,Newtonian
7360,-1.740590939353525,Newtonian
7370,-1.7405906307161223,Newtonian
7380,-1.740590322927478,Newtonian
7390,-1.740590015984099,Newtonian
7400,-1.7405897098825078,Newtonian
7410,-1.7405894046192458,Newtonian
7420,-1.7405891001908729,Newtonian
7430,-1.7405887965939688,Newtonian
7440,-1.7405884938251328,Newtonian
7450,-1.7405881918809798,Newtonian
7460,-1.7405878907581447,Newtonian
7470,-1.7405875904532828,Newtonian
7480,-1.740587290963065,Newtonian
7490,-1.7405869922841783,Newtonian
7500,-1.740586694413334,Newtonian
