Step,Phi_Angle,K_Strength,Alpha,Mu,Dissonance
20,2.4801020181031426,0.00822797786553483,0.00018946402356531788,0.8999800535976434,0.9965011469115062
40,0.6173172371725913,0.027135856538121485,0.00036943833355590516,0.8999600561666444,0.9931412135676521
60,3.0868534649374038,0.046477040464685114,0.0005488848294859014,0.8999401115170514,0.9902998369649106
80,1.1354233664183966,0.025216781889271716,0.0007282278704886086,0.8999201772129513,0.987741385721636
100,-0.412817831633848,0.08928946290475355,0.0009055302746091204,0.8999004469725393,1.0286931487517452
120,-2.679241850139923,0.04164900142205491,0.001,0.8998807468691679,0.9560777199860355
140,-1.6206523497046268,0.09514302864008357,0.001,0.8998611713445361,0.9543105600665391
160,-0.6598298160644761,0.1278123491978919,0.001,0.8998422858984226,0.961073809830653
180,0.27646132725526346,0.14794815206125614,0.001,0.8998219440797225,1.038296547346413
200,2.3027690890727834,0.09004310775107553,0.001,0.8998018382662101,0.9839848171494439
220,-2.423781639665493,0.05090446844113646,0.001,0.8997826436059273,0.9395132110897813
240,-1.5043423591410197,0.13104572078071067,0.001,0.8997637962830316,0.9669021334534593
260,-0.5431736456757454,0.18856778538516392,0.001,0.8997441010885245,0.9677928461660702
280,0.8264305148221147,0.18426703145253182,0.001,0.8997251672099525,0.9437890830426244
300,2.3411752932337215,0.10502987112831212,0.001,0.8997062011006436,0.9445922450908311
320,-2.8602126198990523,0.05049407276129748,0.001,0.8996877321377328,0.9015729189439439
340,-2.230777994914416,0.11696848131070425,0.001,0.8996700425010739,0.8766815026530056
360,-1.8335050294156818,0.1867223956449159,0.001,0.8996522800535389,0.9056227770944789
380,-1.511633353299921,0.24621745965509714,0.001,0.899633695846776,0.9494443330074596
400,-1.1805440722283014,0.29627821319426517,0.001,0.8996142448506352,0.9940178653716231
420,-0.7977303120464314,0.33524536639238406,0.001,0.8995941012941425,1.0085823729256955
440,-0.3452226604805557,0.3581029956670972,0.001,0.8995743787671788,0.9586562922674912
460,0.17642195394708388,0.3586094106889904,0.001,0.8995558942338602,0.8947083272288718
480,0.7444845460100757,0.3334447673460297,0.001,0.8995385372503875,0.8461891814629332
500,1.3145081006285362,0.28431685164764076,0.001,0.8995219803975544,0.8141095994840276
520,1.83711116578691,0.2208775594683166,0.001,0.8995058112988993,0.8095471884492677
540,2.2783017493024396,0.15826206445470897,0.001,0.8994892435964169,0.8541738101311782
560,2.6242040978240855,0.11367705076182355,0.001,0.8994712845278189,0.9408210090682412
580,2.8733465767520494,0.10722957823920588,0.001,0.8994516068160527,1.0167719122763743
600,3.0301507947750745,0.13943736804441564,0.001,0.8994308687909697,1.0482885608915535
620,3.1059572788681407,0.1918031657286491,0.001,0.8994098982052617,1.0438998719698405
640,3.1227089449328296,0.25328137084547914,0.001,0.8993893311001325,1.0096975851059269
660,3.1088176800718794,0.3179548243597431,0.001,0.8993697231054086,0.95103523092459
680,3.087898337585457,0.3797410382552578,0.001,0.899351396625065,0.8855472865267366
700,3.0724712944694152,0.43635111249492564,0.001,0.8993342977215031,0.8295037561283459
720,3.065976619645152,0.4887021833933168,0.001,0.899318146922372,0.7908889986124935
740,3.067174965324895,0.5357526314116884,0.001,0.8993025308989295,0.7757783178682921
760,3.0732548072163315,0.5764568623027125,0.001,0.8992869540690577,0.7850358698859051
780,3.081290508799218,0.6112759601240522,0.001,0.8992710043012976,0.8102343292959743
800,3.088646034193647,0.6410394205665298,0.001,0.8992545108655114,0.8366204164210812
820,3.09291657510881,0.6667722589360879,0.001,0.8992376128277862,0.8493924808278932
840,3.0917290817504455,0.6895307561550332,0.001,0.8992206689003699,0.842114043420912
860,3.082535013647174,0.7102202014567722,0.001,0.8992040497397571,0.8190756654292176
880,3.062440756750366,0.7294832218872684,0.001,0.8991879743138097,0.7896550376277609
900,3.028086792674328,0.7476840600609149,0.001,0.8991724786601759,0.7621246274626261
920,2.9755788231039197,0.7649354724065689,0.001,0.899157464797603,0.7417924078486016
940,2.9004801772864823,0.7811064395426838,0.001,0.8991427511759831,0.7320447369790838
960,2.7978893647037415,0.7957768284225569,0.001,0.8991280996335402,0.7352263566964392
980,2.6626468404695682,0.8081299448437292,0.001,0.8991132399081637,0.7521511253360336
1000,2.48973663676935,0.816794492362418,0.001,0.8990979046463748,0.781867523241304
1020,2.2749585224458366,0.8196790205570386,0.001,0.8990818586952716,0.822259782149065
1040,2.015914352608614,0.8138949716861158,0.001,0.8990649189307179,0.8702726960427244
1060,1.713230266761608,0.795925049425637,0.001,0.8990469747403854,0.9217399421775887
1080,1.3716958304858826,0.7621996340424431,0.001,0.8990280103776912,0.971449464699921
1100,1.0007301553303254,0.7100946457647141,0.001,0.8990081199510885,1.013811466960997
1120,0.6135626521530755,0.639037700801477,0.001,0.898987502986012,1.0440529326924752
1140,0.2250241238514015,0.5511539473943435,0.001,0.8989664349404852,1.0594181114227315
1160,-0.15130529178726349,0.4511961194764435,0.001,0.8989452185715685,1.0598745848071451
1180,-0.5053834183508003,0.34615085947739743,0.001,0.8989241255938475,1.0483714515666176
1200,-0.831612439617818,0.24290280038423107,0.001,0.8989033518850326,1.0289212156135759
1220,-1.128397778026271,0.14675650543007773,0.001,0.8988830244355225,1.0044005030311027
1240,-1.3970090111869244,0.06818709860820009,0.001,0.8988632212396731,0.9769614756195729
1260,-1.6403846650542728,0.06628267145792216,0.001,0.8988439816990171,0.9483598323560261
1280,-1.8621966055262262,0.12950666164484756,0.001,0.8988253130903784,0.9200803392363499
1300,-2.06623644113557,0.19551175739960377,0.001,0.8988071952942498,0.8933932961499812
1320,-2.256068325951713,0.2564176706446797,0.001,0.8987895849236924,0.869364811163754
1340,-2.4348645071200044,0.3112249516421452,0.001,0.8987724194644019,0.8488511977524787
1360,-2.6053518517057097,0.35986003877772194,0.001,0.8987556214871015,0.8324988316065479
1380,-2.7698191432570867,0.4024454907325858,0.001,0.8987391028039041,0.8207474630864459
1400,-2.9301536546122002,0.43917048238356415,0.001,0.8987227686716579,0.8138204954794231
1420,-3.0878884296558113,0.47028001849058104,0.001,0.8987065223441533,0.8117036152158832
1440,3.038935487734283,0.49607405093733553,0.001,0.89869026991678,0.8141415001999475
1460,2.8829853178292395,0.5168910097916614,0.001,0.8986739248579698,0.8206705616949469
1480,2.726712812166452,0.5330842578927572,0.001,0.8986574116230049,0.8306727908291117
1500,2.5695842779925253,0.5450024419967066,0.001,0.8986406681781509,0.8434279790432047
1520,2.4112428825191845,0.5529772566688551,0.001,0.89862364760361,0.8581535557679029
1540,2.251489927432972,0.5573179153844048,0.001,0.8986063190343594,0.8740321210064508
1560,2.0902688564368894,0.558310933395981,0.001,0.8985886681418207,0.8902310508913791
1580,1.927650534473228,0.5562244334748918,0.001,0.8985706972648769,0.9059188071026993
1600,1.7638185301730454,0.5513169931124909,0.001,0.8985524252183256,0.9202813094978783
1620,1.5990534189121808,0.5438517490593255,0.001,0.8985338867556839,0.9325402280378784
1640,1.4337154892334965,0.5341169568407915,0.001,0.8985151316394699,0.941973846965334
1660,1.268225656348213,0.5224543132223848,0.001,0.8984962232675563,0.9479404199700483
1680,1.1030448240918644,0.5092957545073532,0.001,0.8984772368093199,0.9499036715883828
1700,0.9386523400551281,0.49520751890458264,0.001,0.8984582568111421,0.9474602737006347
1720,0.7755245018339624,0.4809360209350541,0.001,0.8984393742271012,0.9403699708344858
1740,0.6141142415546097,0.46744234145089225,0.001,0.8984206827892219,0.9285925315217927
1760,0.4548330750043472,0.4559000749088201,0.001,0.8984022743913371,0.912356877305496
1780,0.29803586756774236,0.4476104080972836,0.001,0.8983842311947373,0.8925090170382584
1800,0.14400499560944421,0.44354822917881004,0.001,0.8983665933532807,0.8728520417779493
1820,-0.007077311418732603,0.44310629844097027,0.001,0.8983492991267961,0.8582565868816288
1840,-0.15514067978303217,0.44486924965190305,0.001,0.8983322375472695,0.8492356052291365
1860,-0.3002015981426925,0.4477083896722769,0.001,0.8983153032355378,0.8451569886367345
1880,-0.4423336785587131,0.45085734224544194,0.001,0.898298405576301,0.8452269141305516
1900,-0.5816441986013763,0.4538335650121931,0.001,0.8982814702107401,0.8486253696230237
1920,-0.7182568080964,0.4563575280716977,0.001,0.8982644390624496,0.8545476138217474
1940,-0.8522992250843118,0.4582890931006652,0.001,0.8982472698216396,0.8622219758192567
1960,-0.9838948114676171,0.4595823353564525,0.001,0.8982299351920794,0.870917464062727
1980,-1.1131571155474813,0.46025578522091665,0.001,0.8982124220462786,0.8799461740550404
2000,-1.2401866600824294,0.4603745563954295,0.001,0.8981947305615933,0.8886632742586638
2020,-1.3650694143194537,0.46004140273833216,0.001,0.898176873365441,0.8964663864866365
2040,-1.4878765145138433,0.4593944589056501,0.001,0.8981588746878191,0.9027956186304321
2060,-1.608664894196981,0.4586099219535818,0.001,0.8981407694978962,0.9071351838995158
2080,-1.727478558780422,0.4579080788645934,0.001,0.8981226025845349,0.9090173971224076
2100,-1.8443502947133246,0.4575607949922804,0.001,0.898104427524998,0.9080298403163514
2120,-1.9593036464246645,0.45789779557707283,0.001,0.8980863054690331,0.9038266299586066
2140,-2.0723550293609203,0.4593078075602993,0.001,0.8980683036434819,0.8961451020744224
2160,-2.1835158798443386,0.46222899894906083,0.001,0.8980504934463739,0.8848303801346524
2180,-2.2927947812217058,0.46712114149738443,0.001,0.8980329479160641,0.8698743750933211
2200,-2.400199575226648,0.4744075147024681,0.001,0.8980157380939359,0.8514924851735814
2220,-2.5057396605382602,0.48435313644689665,0.001,0.8979989267102523,0.8303393867947453
2240,-2.609429404513654,0.49675290828774477,0.001,0.8979825530093732,0.8082440698705742
2260,-2.7112954300705807,0.5105025600172035,0.001,0.8979665992533528,0.7888549124718518
2280,-2.811387283655848,0.5242277113384908,0.001,0.8979509799181201,0.7747230137571698
2300,-2.9097805520998854,0.537065858225611,0.001,0.8979355847927031,0.7661011680440368
2320,-3.006570805696865,0.5485883863254597,0.001,0.8979203087997109,0.762450515886362
2340,-3.1018656685251953,0.5586225057235964,0.001,0.8979050597410719,0.7630764106874052
2360,3.0874072188676673,0.5671396399256354,0.001,0.8978897594169808,0.7672856693813909
2380,2.994764127426555,0.5741887153537839,0.001,0.8978743430705758,0.7744282224909215
2400,2.9032808804689805,0.5798567917308786,0.001,0.8978587583964783,0.7839067447843125
2420,2.8128543488548483,0.5842462150828573,0.001,0.8978429644873641,0.7951755454249418
2440,2.723389656535162,0.5874617214795108,0.001,0.8978269308505946,0.8077355221627999
2460,2.6348014492143914,0.5896035484416376,0.001,0.8978106365418479,0.8211278550440314
2480,2.5470146819226445,0.5907642124976906,0.001,0.8977940694266392,0.8349276632894498
2500,2.4599650364106007,0.5910275813543924,0.001,0.8977772255634656,0.8487382260193355
2520,2.373599050552846,0.5904694597794133,0.001,0.8977601086938765,0.8621860579256626
2540,2.287874020595912,0.5891592733363422,0.001,0.8977427298208234,0.8749169695324538
2560,2.202757721478822,0.5871626643529293,0.001,0.8977251068549673,0.8865931650892115
2580,2.118227979193395,0.5845449612893429,0.001,0.8977072643078596,0.8968914093682587
2600,2.0342721211308348,0.5813755717721545,0.001,0.8976892330101762,0.9055023102668336
2620,1.9508863247233197,0.5777333883914406,0.001,0.8976710498318502,0.9121308053069418
2640,1.8680748807793346,0.5737132770092287,0.001,0.8976527573786021,0.9164979974388798
2660,1.7858493852287507,0.5694336173580343,0.001,0.8976344036357827,0.9183445501413262
2680,1.7042278711499028,0.5650446490439311,0.001,0.8976160415255791,0.9174359148269764
2700,1.6232338916307265,0.5607369974293824,0.001,0.897597728337577,0.913569717961221
2720,1.542895562927291,0.55674917193903,0.001,0.8975795249856353,0.9065856831284755
2740,1.4632445761780342,0.5533720343825971,0.001,0.8975614950358429,0.8963785360115499
2760,1.384315184046601,0.5509472902422283,0.001,0.8975437034395681,0.882914551634958
2780,1.3061431649537116,0.5498561256926974,0.001,0.89752621488651,0.8662530892296886
2800,1.2287647593737028,0.5504933753461707,0.001,0.8975090916473919,0.846576566872273
2820,1.152215553420401,0.5532217872971877,0.001,0.897492390652838,0.824238481920774
2840,1.076529237517005,0.55829807321999,0.001,0.8974761592139556,0.7998556087735359
2860,1.0017360520014411,0.5657542385986405,0.001,0.8974604279732782,0.7744977065318934
2880,0.9278605190485696,0.5752344117351865,0.001,0.8974451991293404,0.7499274902562744
2900,0.8549181549029425,0.5859671618417639,0.001,0.8974304344274046,0.7282567552220437
2920,0.7829123047010873,0.5970925546542296,0.001,0.8974160598911665,0.7108204239464287
2940,0.7118332939784104,0.607969423215099,0.001,0.897401986601084,0.697890328074074
2960,0.6416600051913748,0.618207076910075,0.001,0.8973881268502094,0.6891864501091922
2980,0.5723624179854532,0.6275962364195051,0.001,0.8973744008416824,0.6842456680163298
3000,0.5039041354972162,0.6360440566375651,0.001,0.8973607385280992,0.6825720147597529
3020,0.43624456401123357,0.6435286943816922,0.001,0.8973470796097829,0.6836905330866767
3040,0.3693406926095837,0.6500697904866831,0.001,0.8973333728948337,0.6871648588958003
3060,0.3031485092654156,0.6557098368682523,0.001,0.8973195754747132,0.6926009136622857
3080,0.23762411131128824,0.6605026247135115,0.001,0.8973056518919941,0.699645100836744
3100,0.1727245670892645,0.664506215621667,0.001,0.8972915733700374,0.7079803723433533
3120,0.10840857785004632,0.6677787825284547,0.001,0.8972773171299906,0.7173216206559644
3140,0.04463698017404649,0.67037626917151,0.001,0.8972628658007338,0.7274110666395968
3160,-0.018626878818489567,0.6723512045875,0.001,0.8972482069181267,0.7380139606646565
3180,-0.0814168679317182,0.6737522560975606,0.001,0.8972333325055718,0.7489147419786788
3200,-0.1437638799540486,0.6746242612584731,0.001,0.897218238726044,0.7599137115510499
3220,-0.20569570558141836,0.6750085793686642,0.001,0.8972029255951746,0.7708242261107456
3240,-0.26723696090119065,0.6749436672107781,0.001,0.8971873967451156,0.781470397289157
3260,-0.32840905882714394,0.6744658247965136,0.001,0.8971716592293421,0.7916852700665464
3280,-0.3892302169870705,0.6736100829342018,0.001,0.8971557233590922,0.8013094535796798
3300,-0.4497154962187783,0.6724112202203023,0.001,0.8971396025626505,0.8101901813298806
3320,-0.5098768651275115,0.6709049052099214,0.001,0.8971233132590671,0.8181807846471105
3340,-0.5697232871765963,0.6691289612736654,0.001,0.8971068747381468,0.825140571304031
3360,-0.6292608275842919,0.6671247472343723,0.001,0.8970903090386181,0.830935109195663
3380,-0.6884927779308309,0.6649386358508296,0.001,0.8970736408163216,0.8354369219374927
3400,-0.7474197968760914,0.6626235537277015,0.001,0.8970568971940582,0.8385266080619731
3420,-0.8060400657776877,0.6602405193715527,0.001,0.8970401075844895,0.840094397169017
3440,-0.8643494583012823,0.657860080392154,0.001,0.8970233034772244,0.8400421538799792
